Kitchener - Cambridge - Waterloo — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,351,a ,440,a ,524,a ,680,a ,517,a ,
1991 October,372,a ,465,a ,565,a ,707,a ,553,a ,
1992 October,373,a ,491,a ,596,a ,748,a ,580,a ,
1993 October,372,a ,495,a ,602,a ,730,a ,582,a ,
1994 October,395,a ,497,a ,597,a ,744,a ,583,a ,
1995 October,385,a ,511,a ,619,a ,752,a ,600,a ,
1996 October,405,a ,526,a ,626,a ,747,a ,605,a ,
1997 October,409,a ,538,a ,631,a ,743,a ,611,a ,
1998 October,419,b ,545,a ,644,a ,768,a ,623,a ,
1999 October,432,a ,565,a ,662,a ,766,a ,640,a ,
2000 October,484,a ,599,a ,700,a ,802,a ,675,a ,
2001 October,482,a ,615,a ,723,a ,875,a ,700,a ,
2002 October,518,a ,638,a ,752,a ,877,a ,724,a ,
2003 October,517,a ,646,a ,756,a ,918,a ,732,a ,
2004 October,541,a ,651,a ,766,a ,937,a ,744,a ,
2005 October,544,a ,678,a ,807,a ,"1,005",a ,782,a ,
2006 October,563,a ,688,a ,821,a ,"1,079",a ,803,a ,
2007 October,548,a ,692,a ,827,a ,982,a ,794,a ,
2008 October,562,a ,712,a ,843,a ,"1,010",a ,811,a ,
2009 October,589,a ,723,a ,854,a ,976,a ,820,a ,
2010 October,589,a ,740,a ,872,a ,999,a ,836,a ,
2011 October,608,a ,752,a ,889,a ,"1,015",a ,852,a ,
2012 October,644,a ,773,a ,906,a ,"1,031",a ,869,a ,
2013 October,659,a ,811,a ,951,a ,"1,086",a ,913,a ,
2014 October,667,a ,817,a ,974,a ,"1,089",a ,925,a ,
2015 October,703,a ,850,a ,996,a ,"1,139",a ,955,a ,
2016 October,710,a ,871,a ,"1,046",a ,"1,352",c ,"1,011",a ,
2017 October,734,a ,916,a ,"1,087",a ,"1,258",a ,"1,042",a ,
2018 October,794,b ,"1,019",a ,"1,202",a ,"1,250",a ,"1,138",a ,
2019 October,804,a ,"1,041",a ,"1,223",a ,"1,285",a ,"1,161",a ,
2020 October,861,a ,"1,073",a ,"1,287",a ,"1,398",b ,"1,221",a ,
2021 October,948,a ,"1,131",a ,"1,349",a ,"1,742",c ,"1,305",a ,
2022 October,"1,063",b ,"1,240",a ,"1,454",a ,"1,590",b ,"1,390",a ,
2023 October,"1,157",b ,"1,342",a ,"1,637",a ,"1,935",b ,"1,561",a ,
2024 October,"1,250",b ,"1,499",a ,"1,747",a ,"1,789",b ,"1,658",a ,
2025 October,"1,255",b ,"1,546",a ,"1,816",a ,"1,861",b ,"1,716",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
