month,total_visits,total_people_served,unique_clients,unique_households,avg_household_size,avg_client_age,ow_cases_official,ow_beneficiaries,odsp_cases_official,odsp_beneficiaries,total_homeless,total_chronic_homeless,cpi_all_items,cpi_food,cpi_shelter,unemployment,unemployment_rate,year,month_num,quarter,total_people_served_lag1,total_people_served_lag2,total_people_served_lag3,total_people_served_lag6,total_people_served_lag12,total_people_served_rollingavg3,total_people_served_rollingavg6,total_people_served_rolling12avg,ow_cases_official_lag1,ow_beneficiaries_lag1,odsp_cases_official_lag1,odsp_beneficiaries_lag1,total_homeless_lag1,total_chronic_homeless_lag1,cpi_all_items_lag1,cpi_food_lag1,cpi_shelter_lag1,unemployment_lag1,unemployment_rate_lag1
2021-01-01,7771,23743,3987,3851,2.870942612308492,46.00371747211896,7996,15690,12703,17517,887.0,527.0,139.5,157.1,151.1,805600.0,10.2,2021,1,1,22750.0,24984.0,25393.0,21884.0,20383.0,24375.666666666668,23066.5,21832.416666666668,7990.0,15704.0,12829.0,17773.0,840.0,512.0,138.8,155.2,152.3,801900.0,9.9
2021-02-01,8004,25061,3948,3819,2.918041372086934,45.99689265536723,7803,15304,12847,17748,832.0,528.0,140.2,157.1,151.9,757300.0,9.5,2021,2,1,23743.0,22750.0,24984.0,20010.0,18625.0,23825.666666666668,23376.333333333332,22112.416666666668,7996.0,15690.0,12703.0,17517.0,887.0,527.0,139.5,157.1,151.1,805600.0,10.2
2021-03-01,9762,30229,4353,4189,2.86249701599427,45.931628260319066,7815,15363,12850,17754,819.0,521.0,141.0,157.6,153.5,623500.0,7.8,2021,3,1,25061.0,23743.0,22750.0,23378.0,18364.0,23851.333333333332,24218.166666666668,22648.75,7803.0,15304.0,12847.0,17748.0,832.0,528.0,140.2,157.1,151.9,757300.0,9.5
2021-04-01,8936,27723,4183,4045,2.862546353522868,46.439793422125575,7588,14919,12838,17729,823.0,548.0,141.8,157.2,154.6,747400.0,9.4,2021,4,2,30229.0,25061.0,23743.0,25393.0,22081.0,26344.333333333332,25360.0,23637.5,7815.0,15363.0,12850.0,17754.0,819.0,521.0,141.0,157.6,153.5,623500.0,7.8
2021-05-01,8733,26961,4040,3897,2.8555298947908647,46.2650433809124,7466,14627,12738,17568,835.0,558.0,142.6,158.1,155.7,749300.0,9.4,2021,5,2,27723.0,30229.0,25061.0,24984.0,21855.0,27671.0,25748.333333333332,24107.666666666668,7588.0,14919.0,12838.0,17729.0,823.0,548.0,141.8,157.2,154.6,747400.0,9.4
2021-06-01,9333,28912,4304,4146,2.863724071394115,45.99370409233998,7302,14245,12854,17746,836.0,562.0,143.1,158.1,156.9,705400.0,8.8,2021,6,2,26961.0,27723.0,30229.0,22750.0,22282.0,28304.333333333332,26077.833333333332,24533.166666666668,7466.0,14627.0,12738.0,17568.0,835.0,558.0,142.6,158.1,155.7,749300.0,9.4
2021-07-01,9064,28025,4339,4213,2.8934251127462614,46.21770721205598,7239,14162,12817,17659,835.0,583.0,143.7,159.2,157.2,640200.0,7.9,2021,7,3,28912.0,26961.0,27723.0,23743.0,21884.0,27865.333333333332,27104.833333333332,25085.666666666668,7302.0,14245.0,12854.0,17746.0,836.0,562.0,143.1,158.1,156.9,705400.0,8.8
2021-08-01,9601,30224,4552,4364,2.924610449129239,45.85626686288938,7224,14110,12731,17538,885.0,582.0,144.1,160.0,157.4,620500.0,7.7,2021,8,3,28025.0,28912.0,26961.0,25061.0,20010.0,27966.0,27818.5,25597.416666666668,7239.0,14162.0,12817.0,17659.0,835.0,583.0,143.7,159.2,157.2,640200.0,7.9
2021-09-01,10201,31899,4829,4661,2.968461703497104,45.84703409621672,7073,13783,12823,17692,922.0,606.0,144.4,160.3,158.4,607000.0,7.4,2021,9,3,30224.0,28025.0,28912.0,30229.0,23378.0,29053.666666666668,28679.0,26448.583333333332,7224.0,14110.0,12731.0,17538.0,885.0,582.0,144.1,160.0,157.4,620500.0,7.7
2021-10-01,9670,29641,4951,4784,2.92244983277592,45.80951265229616,7192,13926,12800,17622,932.0,587.0,145.7,160.6,159.8,548800.0,6.7,2021,10,4,31899.0,30224.0,28025.0,27723.0,25393.0,30049.333333333332,28957.333333333332,27158.666666666668,7073.0,13783.0,12823.0,17692.0,922.0,606.0,144.4,160.3,158.4,607000.0,7.4
2021-11-01,9730,29315,5176,5009,2.8658414853264125,46.14400895856663,7369,14058,12756,17551,967.0,595.0,146.0,162.8,160.5,529800.0,6.5,2021,11,4,29641.0,31899.0,30224.0,26961.0,24984.0,30588.0,29277.0,27512.666666666668,7192.0,13926.0,12800.0,17622.0,932.0,587.0,145.7,160.6,159.8,548800.0,6.7
