month,visited_agency,total_visits,total_people_served,unique_clients,unique_clients_excl_unknown,unique_households,unique_households_excl_unknown,avg_household_size,avg_client_age,0-17,18-30,31-44,45-64,65+,Not Reported,ow_cases_official,ow_beneficiaries,odsp_cases_official,odsp_beneficiaries,total_homeless,total_chronic_homeless
2015-01-01,Blessed Sacrament Catholic Church - Society of St. Vincent de Paul,108,344,108,78,108,78,3.185185185185185,46.1025641025641,0,9,28,34,7,30,8257,14896,10998,15022,,
2015-01-01,Cambridge Food Bank - Cambridge,1630,1630,1097,1097,1076,1076,1.0,41.24153705397987,8,435,519,618,43,7,8257,14896,10998,15022,,
2015-01-01,Ray of Hope,126,231,123,122,122,121,1.8114754098360655,45.60655737704918,0,18,42,58,7,1,8257,14896,10998,15022,,
2015-02-01,Blessed Sacrament Catholic Church - Society of St. Vincent de Paul,106,319,106,86,106,86,3.009433962264151,44.616279069767444,0,15,29,35,7,20,8270,14928,11000,15052,,
2015-02-01,Cambridge Food Bank - Cambridge,1386,1386,1050,1050,1034,1034,1.0,41.14995224450812,6,367,458,513,38,4,8270,14928,11000,15052,,
2015-02-01,Emergency Food Hamper Program - House of Friendship,2,2,2,2,2,2,1.0,35.0,0,1,1,0,0,0,8270,14928,11000,15052,,
2015-02-01,Kingsdale Community Centre - Neighbourhood Food Program - House of Friendship,14,38,13,13,13,13,2.6923076923076925,36.38461538461539,0,6,6,2,0,0,8270,14928,11000,15052,,
2015-02-01,Ray of Hope,484,928,295,295,284,284,1.8873239436619718,47.11864406779661,0,57,132,264,31,0,8270,14928,11000,15052,,
2015-03-01,Blessed Sacrament Catholic Church - Society of St. Vincent de Paul,114,343,113,113,113,113,3.0265486725663715,44.56637168141593,1,18,39,48,8,0,8391,15071,11056,15140,,
2015-03-01,Cambridge Food Bank - Cambridge,1378,1378,1045,1045,1028,1028,1.0,42.16330451488953,6,340,409,564,55,4,8391,15071,11056,15140,,
2015-03-01,Emergency Food Hamper Program - House of Friendship,2560,6120,2302,2301,2265,2264,2.419867549668874,42.61260869565218,13,550,892,938,165,2,8391,15071,11056,15140,,
2015-03-01,Kingsdale Community Centre - Neighbourhood Food Program - House of Friendship,342,910,206,206,199,199,2.6180904522613067,45.39320388349515,2,58,97,143,42,0,8391,15071,11056,15140,,
2015-03-01,Ray of Hope,546,1084,343,343,335,335,1.9522388059701492,45.481049562682216,2,73,160,287,24,0,8391,15071,11056,15140,,
2015-03-01,Traverse Independence,25,47,24,1,24,1,1.9166666666666667,37.0,0,0,2,0,0,23,8391,15071,11056,15140,,
2015-03-01,Woolwich Community Services,50,118,47,47,47,47,2.3191489361702127,43.12765957446808,1,9,18,18,4,0,8391,15071,11056,15140,,
2015-04-01,Blessed Sacrament Catholic Church - Society of St. Vincent de Paul,99,296,99,99,99,99,2.98989898989899,46.18181818181818,1,11,32,47,8,0,8460,15264,11066,15150,,
2015-04-01,Cambridge Food Bank - Cambridge,1191,1191,959,959,943,943,1.0,41.83874345549738,5,309,355,472,46,4,8460,15264,11066,15150,,
2015-04-01,Emergency Food Hamper Program - House of Friendship,2275,5355,2044,2043,2000,1999,2.3805,42.09006363191385,20,538,763,797,156,1,8460,15264,11066,15150,,
2015-04-01,Glencairn Mennonite Brethren Church,101,302,100,100,100,100,3.01,46.09,2,10,38,41,10,0,8460,15264,11066,15150,,
2015-04-01,Kingdom Community International ,110,210,91,91,91,91,1.9120879120879122,47.142857142857146,2,11,38,44,15,0,8460,15264,11066,15150,,
2015-04-01,Kingsdale Community Centre - Neighbourhood Food Program - House of Friendship,349,935,198,195,194,191,2.6804123711340204,46.707692307692305,2,48,86,166,44,3,8460,15264,11066,15150,,
2015-04-01,Langs,23,35,23,23,22,22,1.5454545454545454,43.52173913043478,1,5,4,12,1,0,8460,15264,11066,15150,,
2015-04-01,Ray of Hope,520,1076,323,323,317,317,1.9810725552050472,46.804953560371516,2,52,151,283,32,0,8460,15264,11066,15150,,
2015-04-01,Southwood Resource Centre - Kinbridge Community Association,2,8,2,2,2,2,4.0,35.0,0,0,2,0,0,0,8460,15264,11066,15150,,
2015-04-01,St. Agnes Conference - Society of St. Vincent de Paul,19,56,19,18,19,18,2.9473684210526314,40.55555555555556,0,4,8,5,1,1,8460,15264,11066,15150,,
2015-04-01,St. Aloysius Parish Food Pantry,9,32,9,9,9,9,3.5555555555555554,41.333333333333336,0,2,3,3,1,0,8460,15264,11066,15150,,
2015-04-01,Sunnydale Community Centre - Neighbourhood Food Program - House of Friendship,9,34,9,9,9,9,3.7777777777777777,46.55555555555556,0,1,3,4,1,0,8460,15264,11066,15150,,
2015-04-01,Traverse Independence,43,71,31,3,31,3,1.903225806451613,50.333333333333336,0,0,6,9,0,28,8460,15264,11066,15150,,
2015-04-01,Woolwich Community Services,61,152,59,59,59,59,2.542372881355932,45.186440677966104,1,10,17,27,6,0,8460,15264,11066,15150,,
2015-05-01,Blessed Sacrament Catholic Church - Society of St. Vincent de Paul,114,351,113,112,113,112,3.0707964601769913,43.732142857142854,0,22,42,41,8,1,8579,15546,11002,15042,,
2015-05-01,Cambridge Food Bank - Cambridge,1144,1144,958,958,945,945,1.0,41.9643605870021,10,300,327,460,43,4,8579,15546,11002,15042,,
2015-05-01,Christopher Champlain Resource Centre - Kinbridge Community Association,11,32,11,0,11,0,2.909090909090909,,0,0,0,0,0,11,8579,15546,11002,15042,,
2015-05-01,Courtland Shelley Community Centre - Neighbourhood Food Program - House of Friendship,98,370,34,34,34,34,3.7941176470588234,39.94117647058823,0,21,46,27,4,0,8579,15546,11002,15042,,
2015-05-01,Emergency Food Hamper Program - House of Friendship,2155,5270,1997,1995,1964,1962,2.468431771894094,41.99047619047619,16,515,743,754,125,2,8579,15546,11002,15042,,
2015-05-01,Emmanuel United Church - Waterloo Wayside ,55,75,42,38,40,36,1.225,54.05263157894737,0,2,5,34,10,4,8579,15546,11002,15042,,
2015-05-01,Erb West Community Centre - Camino Wellness + Mental Health,13,75,11,11,11,11,5.363636363636363,35.90909090909091,0,2,11,0,0,0,8579,15546,11002,15042,,
2015-05-01,Glencairn Mennonite Brethren Church,103,320,101,101,100,100,3.13,45.78217821782178,1,12,34,45,11,0,8579,15546,11002,15042,,
2015-05-01,Kingdom Community International ,161,344,145,145,144,144,2.0902777777777777,45.53103448275862,1,20,59,67,14,0,8579,15546,11002,15042,,
2015-05-01,Kingsdale Community Centre - Neighbourhood Food Program - House of Friendship,310,860,188,187,183,182,2.73224043715847,46.88235294117647,2,43,82,141,41,1,8579,15546,11002,15042,,
2015-05-01,Kitchener Community Church and Family Care Centre,14,31,14,14,14,14,2.2142857142857144,42.07142857142857,0,4,2,8,0,0,8579,15546,11002,15042,,
2015-05-01,Langs,29,38,23,23,23,23,1.2608695652173914,43.04347826086956,1,9,5,13,1,0,8579,15546,11002,15042,,
2015-05-01,Ray of Hope,542,1158,323,323,317,317,2.1009463722397475,47.526315789473685,3,50,155,297,37,0,8579,15546,11002,15042,,
2015-05-01,St. Agnes Conference - Society of St. Vincent de Paul,25,84,25,22,24,21,3.4583333333333335,40.45454545454545,0,5,9,7,1,3,8579,15546,11002,15042,,
2015-05-01,St. Aloysius Parish Food Pantry,17,51,15,15,15,15,3.2666666666666666,40.4,1,5,5,4,2,0,8579,15546,11002,15042,,
2015-05-01,Traverse Independence,52,67,34,8,34,8,1.3823529411764706,46.5,0,1,7,18,0,26,8579,15546,11002,15042,,
2015-05-01,Wellesley Food Cupboard,3,20,3,3,3,3,6.666666666666667,30.333333333333332,0,1,2,0,0,0,8579,15546,11002,15042,,
2015-05-01,Woolwich Community Services,53,131,50,50,50,50,2.46,46.94,0,8,16,21,8,0,8579,15546,11002,15042,,
2015-06-01,Blessed Sacrament Catholic Church - Society of St. Vincent de Paul,85,260,85,84,85,84,3.0588235294117645,43.892857142857146,0,16,27,36,5,1,8548,15502,11061,15115,,
2015-06-01,Cambridge Food Bank - Cambridge,1001,1001,836,836,826,826,1.0,41.90059880239521,5,281,284,384,46,1,8548,15502,11061,15115,,
2015-06-01,Christopher Champlain Resource Centre - Kinbridge Community Association,8,26,8,0,8,0,3.25,,0,0,0,0,0,8,8548,15502,11061,15115,,
2015-06-01,Courtland Shelley Community Centre - Neighbourhood Food Program - House of Friendship,118,457,39,39,39,39,3.7948717948717947,41.07692307692308,0,21,50,44,3,0,8548,15502,11061,15115,,
2015-06-01,Emergency Food Hamper Program - House of Friendship,2344,5665,2123,2123,2090,2090,2.4392344497607654,42.261422515308524,6,575,783,821,159,0,8548,15502,11061,15115,,
2015-06-01,Emmanuel United Church - Waterloo Wayside ,121,180,56,52,53,49,1.5471698113207548,52.23076923076923,0,3,20,69,25,4,8548,15502,11061,15115,,
2015-06-01,Erb West Community Centre - Camino Wellness + Mental Health,11,58,11,11,11,11,5.2727272727272725,41.27272727272727,0,1,6,4,0,0,8548,15502,11061,15115,,
2015-06-01,Glencairn Mennonite Brethren Church,106,343,105,102,104,101,3.25,44.911764705882355,1,15,36,42,9,3,8548,15502,11061,15115,,
2015-06-01,Kingdom Community International ,83,183,78,72,76,70,2.236842105263158,46.69444444444444,0,11,25,34,7,6,8548,15502,11061,15115,,
2015-06-01,Kingsdale Community Centre - Neighbourhood Food Program - House of Friendship,323,901,198,198,193,193,2.7927461139896375,46.69191919191919,1,44,95,143,40,0,8548,15502,11061,15115,,
2015-06-01,Kitchener Community Church and Family Care Centre,268,633,263,263,261,261,2.3869731800766285,44.539923954372625,3,38,97,110,20,0,8548,15502,11061,15115,,
2015-06-01,Langs,18,29,14,14,14,14,1.7857142857142858,44.07142857142857,2,1,2,13,0,0,8548,15502,11061,15115,,
2015-06-01,Ray of Hope,571,1273,360,360,353,353,2.2011331444759206,46.15277777777778,3,56,182,290,40,0,8548,15502,11061,15115,,
2015-06-01,Southwood Resource Centre - Kinbridge Community Association,3,11,3,3,3,3,3.6666666666666665,35.0,0,0,3,0,0,0,8548,15502,11061,15115,,
2015-06-01,St. Agnes Conference - Society of St. Vincent de Paul,32,96,32,32,32,32,3.0,42.40625,0,5,12,14,1,0,8548,15502,11061,15115,,
2015-06-01,St. Aloysius Parish Food Pantry,18,50,18,18,18,18,2.7777777777777777,41.333333333333336,1,4,7,4,2,0,8548,15502,11061,15115,,
2015-06-01,Supportive Housing YWCA (Lincoln Road),24,34,24,0,24,0,1.4166666666666667,,0,0,0,0,0,24,8548,15502,11061,15115,,
2015-06-01,Supportive Housing of Waterloo (SHOW),9,9,9,9,9,9,1.0,51.666666666666664,0,0,1,7,1,0,8548,15502,11061,15115,,
2015-06-01,Traverse Independence,33,49,22,8,22,8,1.6818181818181819,52.0,0,0,5,14,0,14,8548,15502,11061,15115,,
2015-06-01,Wellesley Food Cupboard,11,58,11,9,11,9,5.2727272727272725,36.0,0,3,4,2,0,2,8548,15502,11061,15115,,
2015-06-01,Woolwich Community Services,63,161,58,58,58,58,2.6206896551724137,44.44827586206897,0,11,23,23,6,0,8548,15502,11061,15115,,
2015-06-01,oneROOF Youth Services,109,169,82,82,79,79,1.4683544303797469,21.658536585365855,7,101,1,0,0,0,8548,15502,11061,15115,,
2015-07-01,Blessed Sacrament Catholic Church - Society of St. Vincent de Paul,106,323,103,100,103,100,2.9514563106796117,45.52,0,17,35,42,9,3,8536,15539,11131,15207,,
2015-07-01,Cambridge Food Bank - Cambridge,1004,1004,844,844,832,832,1.0,42.44219308700834,1,269,276,407,46,5,8536,15539,11131,15207,,
2015-07-01,Christopher Champlain Resource Centre - Kinbridge Community Association,4,16,4,0,4,0,4.0,,0,0,0,0,0,4,8536,15539,11131,15207,,
2015-07-01,Courtland Shelley Community Centre - Neighbourhood Food Program - House of Friendship,64,266,32,32,30,30,4.2,40.625,0,11,26,25,2,0,8536,15539,11131,15207,,
2015-07-01,Emergency Food Hamper Program - House of Friendship,2061,4983,1875,1874,1858,1857,2.442411194833154,42.79135538954109,8,481,684,724,163,1,8536,15539,11131,15207,,
2015-07-01,Emmanuel United Church - Waterloo Wayside ,148,210,65,60,62,57,1.3870967741935485,53.4,0,6,13,93,31,5,8536,15539,11131,15207,,
2015-07-01,Erb West Community Centre - Camino Wellness + Mental Health,13,70,11,11,11,11,5.181818181818182,39.27272727272727,0,3,9,1,0,0,8536,15539,11131,15207,,
2015-07-01,Glencairn Mennonite Brethren Church,92,317,91,89,90,88,3.466666666666667,48.06741573033708,0,8,28,44,10,2,8536,15539,11131,15207,,
2015-07-01,Kingdom Community International ,144,297,128,123,127,122,2.0866141732283463,48.10569105691057,1,16,38,71,13,5,8536,15539,11131,15207,,
2015-07-01,Kingsdale Community Centre - Neighbourhood Food Program - House of Friendship,294,846,185,184,177,176,2.8192090395480225,46.494565217391305,1,41,88,124,39,1,8536,15539,11131,15207,,
2015-07-01,Kitchener Community Church and Family Care Centre,207,498,202,202,201,201,2.427860696517413,45.14356435643565,1,31,67,94,14,0,8536,15539,11131,15207,,
2015-07-01,Langs,22,36,20,20,20,20,1.7,42.4,1,5,3,13,0,0,8536,15539,11131,15207,,
2015-07-01,Ray of Hope,541,1148,353,353,346,346,2.0722543352601157,46.30028328611898,5,61,162,272,41,0,8536,15539,11131,15207,,
2015-07-01,Southwood Resource Centre - Kinbridge Community Association,1,6,1,1,1,1,6.0,35.0,0,0,1,0,0,0,8536,15539,11131,15207,,
2015-07-01,St. Agnes Conference - Society of St. Vincent de Paul,23,81,23,23,23,23,3.5217391304347827,42.47826086956522,0,3,10,9,1,0,8536,15539,11131,15207,,
2015-07-01,St. Aloysius Parish Food Pantry,3,4,3,3,3,3,1.3333333333333333,42.666666666666664,0,0,2,1,0,0,8536,15539,11131,15207,,
2015-07-01,Sunnydale Community Centre - Neighbourhood Food Program - House of Friendship,6,21,6,6,6,6,3.5,41.666666666666664,0,0,4,2,0,0,8536,15539,11131,15207,,
