month,category,active_homeless,move_ins,moved_to_inactive,newly_identified,aged_in_chronic,returned_inactive,returned_housing
2026-01-01,Total Chronic,1031,21,13,19.0,2.0,29,6
2026-01-01,Chronic Youth,47,1,1,0.0,0.0,5,0
2026-01-01,Single Adults,954,15,11,19.0,2.0,23,6
2026-01-01,Families,34,3,2,0.0,0.0,1,0
2026-01-01,Indigenous,135,5,0,3.0,0.0,2,1
2026-01-01,Seniors,46,1,2,3.0,0.0,0,1
2026-02-01,Total Chronic,1014,20,8,9.0,3.0,11,2
2026-02-01,Chronic Youth,47,1,0,1.0,1.0,1,0
2026-02-01,Single Adults,937,14,6,9.0,3.0,11,2
2026-02-01,Families,35,3,2,0.0,0.0,0,0
2026-02-01,Indigenous,132,2,1,0.0,1.0,0,0
2026-02-01,Seniors,44,1,0,2.0,0.0,0,0
2026-03-01,Total Chronic,1039,26,18,15.0,7.0,26,6
2026-03-01,Chronic Youth,47,0,0,1.0,0.0,3,0
2026-03-01,Single Adults,964,25,18,14.0,6.0,25,5
2026-03-01,Families,33,1,0,1.0,1.0,1,1
2026-03-01,Indigenous,142,4,1,3.0,,7,1
2026-03-01,Seniors,45,0,3,1.0,1.0,2,0
2026-04-01,Total Chronic,1059,27,13,18.0,10.0,22,7
2026-04-01,Chronic Youth,53,0,2,5.0,2.0,3,0
2026-04-01,Single Adults,972,20,6,15.0,7.0,21,7
2026-04-01,Families,37,3,1,0.0,2.0,1,0
2026-04-01,Indigenous,143,3,1,2.0,3.0,1,2
2026-04-01,Seniors,46,1,0,2.0,0.0,0,0
2026-05-01,Total Chronic,1046,30,18,12.0,1.0,20,5
2026-05-01,Chronic Youth,54,6,3,2.0,0.0,2,0
2026-05-01,Single Adults,969,24,15,12.0,1.0,17,5
2026-05-01,Families,31,2,1,0.0,0.0,1,0
2026-05-01,Indigenous,146,4,4,0.0,0.0,2,0
2026-05-01,Seniors,49,2,1,3.0,0.0,1,0
2026-06-01,Total Chronic,1030,24,18,11.0,4.0,23,5
2026-06-01,Chronic Youth,45,3,0,0.0,1.0,3,0
2026-06-01,Single Adults,957,23,15,11.0,3.0,22,5
2026-06-01,Families,31,0,2,0.0,0.0,1,0
2026-06-01,Indigenous,141,4,2,1.0,0.0,1,0
2026-06-01,Seniors,43,1,1,1.0,0.0,2,0
2025-12-01,Total Chronic,1012,20,12,9.0,8.0,15,5
2025-12-01,Chronic Youth,46,1,0,1.0,1.0,1,0
2025-12-01,Single Adults,638,12,7,5.0,5.0,9,4
2025-12-01,Families,31,2,0,0.0,1.0,1,1
2025-12-01,Indigenous,121,3,0,1.0,0.0,2,0
2025-12-01,Seniors,42,4,0,1.0,1.0,0,1
2025-11-01,Total Chronic,1000,21,29,13.0,7.0,13,1
2025-11-01,Chronic Youth,50,4,1,1.0,0.0,2,0
2025-11-01,Single Adults,930,13,28,12.0,7.0,11,1
2025-11-01,Families,30,4,0,1.0,0.0,1,0
2025-11-01,Indigenous,119,3,2,2.0,,3,0
2025-11-01,Seniors,38,1,0,0.0,1.0,0,0
2025-10-01,Total Chronic,1049,32,22,16.0,13.0,15,9
2025-10-01,Chronic Youth,55,3,1,3.0,3.0,2,1
2025-10-01,Single Adults,976,28,22,15.0,9.0,14,9
2025-10-01,Families,30,2,0,1.0,1.0,1,0
2025-10-01,Indigenous,133,5,1,4.0,,0,0
2025-10-01,Seniors,42,3,0,0.0,1.0,1,1
2025-09-01,Total Chronic,1037,27,22,17.0,15.0,17,8
2025-09-01,Chronic Youth,51,0,2,2.0,2.0,2,1
2025-09-01,Single Adults,972,24,21,17.0,14.0,17,8
2025-09-01,Families,28,1,1,0.0,1.0,0,0
2025-09-01,Indigenous,132,2,1,4.0,1.0,2,1
2025-09-01,Seniors,39,0,0,1.0,2.0,0,0
2025-08-01,Total Chronic,1049,32,29,18.0,21.0,24,10
2025-08-01,Chronic Youth,49,1,3,1.0,4.0,2,1
2025-08-01,Single Adults,976,23,26,17.0,13.0,22,9
2025-08-01,Families,30,3,1,0.0,4.0,1,1
2025-08-01,Indigenous,132,2,5,,2.0,1,1
2025-08-01,Seniors,37,0,2,1.0,1.0,2,0
2025-07-01,Total Chronic,1053,39,24,12.0,14.0,17,5
2025-07-01,Chronic Youth,52,2,4,3.0,2.0,1,0
2025-07-01,Single Adults,987,34,22,12.0,10.0,16,5
2025-07-01,Families,28,2,1,0.0,2.0,0,0
2025-07-01,Indigenous,136,6,2,1.0,2.0,0,1
2025-07-01,Seniors,38,2,4,0.0,1.0,0,1
2025-06-01,Total Chronic,1074,34,31,17.0,33.0,15,5
2025-06-01,Chronic Youth,56,3,4,1.0,5.0,1,0
2025-06-01,Single Adults,1001,28,30,17.0,31.0,14,5
2025-06-01,Families,31,3,0,0.0,1.0,1,0
2025-06-01,Indigenous,147,3,5,2.0,3.0,1,2
2025-06-01,Seniors,39,2,4,0.0,1.0,0,2
2025-05-01,Total Chronic,1049,31,14,14.0,26.0,31,5
2025-05-01,Chronic Youth,50,4,1,0.0,5.0,5,0
2025-05-01,Single Adults,977,27,13,14.0,22.0,27,5
2025-05-01,Families,30,2,0,0.0,2.0,1,0
2025-05-01,Indigenous,139,2,0,1.0,2.0,6,1
2025-05-01,Seniors,39,1,0,1.0,1.0,0,2
2025-04-01,Total Chronic,1039,45,32,13.0,26.0,14,7
2025-04-01,Chronic Youth,47,3,3,0.0,1.0,1,1
2025-04-01,Single Adults,968,41,31,13.0,19.0,13,7
2025-04-01,Families,30,2,0,0.0,3.0,1,0
2025-04-01,Indigenous,136,8,3,1.0,2.0,0,0
2025-04-01,Seniors,40,4,1,4.0,1.0,0,0
2025-03-01,Total Chronic,1039,42,23,8.0,18.0,16,4
2025-03-01,Chronic Youth,46,1,3,2.0,3.0,2,0
2025-03-01,Single Adults,978,39,22,8.0,17.0,15,4
2025-03-01,Families,26,2,0,0.0,0.0,0,0
2025-03-01,Indigenous,137,7,0,1.0,4.0,4,1
2025-03-01,Seniors,42,4,0,1.0,1.0,0,0
2025-02-01,Total Chronic,1064,33,31,9.0,31.0,19,2
2025-02-01,Chronic Youth,51,4,4,0.0,1.0,0,0
2025-02-01,Single Adults,1000,29,30,9.0,27.0,19,2
2025-02-01,Families,29,2,1,0.0,2.0,0,0
2025-02-01,Indigenous,133,0,4,0.0,4.0,2,0
2025-02-01,Seniors,46,7,0,1.0,0.0,1,1
2025-01-01,Total Chronic,1053,34,30,19.0,19.0,24,6
2025-01-01,Chronic Youth,54,3,3,0.0,2.0,1,0
2025-01-01,Single Adults,982,24,25,19.0,12.0,24,6
2025-01-01,Families,34,4,4,0.0,1.0,0,0
2025-01-01,Indigenous,134,5,2,2.0,0.0,2,1
2025-01-01,Seniors,44,2,2,2.0,0.0,1,0
2024-12-01,Total Chronic,1035,28,23,16.0,18.0,17,4
2024-12-01,Chronic Youth,59,3,3,1.0,2.0,4,1
2024-12-01,Single Adults,961,20,21,16.0,17.0,16,4
2024-12-01,Families,38,4,2,0.0,1.0,0,0
2024-12-01,Indigenous,135,2,0,0.0,0.0,3,1
2024-12-01,Seniors,40,0,0,0.0,3.0,0,0
2024-11-01,Total Chronic,1034,32,26,22.0,40.0,25,4
2024-11-01,Chronic Youth,59,3,3,2.0,3.0,1,1
2024-11-01,Single Adults,948,22,22,22.0,30.0,23,4
2024-11-01,Families,43,4,2,0.0,4.0,1,0
2024-11-01,Indigenous,144,4,6,3.0,8.0,5,2
2024-11-01,Seniors,35,1,0,1.0,4.0,1,0
2024-10-01,Total Chronic,1024,27,26,17.0,29.0,22,5
2024-10-01,Chronic Youth,61,1,1,6.0,2.0,4,0
2024-10-01,Single Adults,947,24,22,17.0,27.0,17,5
2024-10-01,Families,40,2,3,0.0,1.0,4,0
2024-10-01,Indigenous,147,5,5,2.0,1.0,2,1
2024-10-01,Seniors,34,3,0,0.0,3.0,1,1
2024-09-01,Total Chronic,1003,19,23,14.0,22.0,20,8
2024-09-01,Chronic Youth,55,0,3,3.0,6.0,2,0
2024-09-01,Single Adults,930,19,21,14.0,17.0,19,8
2024-09-01,Families,37,0,2,0.0,2.0,1,0
2024-09-01,Indigenous,145,0,1,0.0,3.0,2,0
2024-09-01,Seniors,30,1,0,1.0,1.0,0,2
2024-08-01,Total Chronic,998,38,30,15.0,38.0,8,9
2024-08-01,Chronic Youth,50,1,3,0.0,5.0,2,1
2024-08-01,Single Adults,923,33,28,15.0,33.0,8,9
2024-08-01,Families,37,2,0,0.0,3.0,0,0
2024-08-01,Indigenous,141,2,1,3.0,4.0,0,0
2024-08-01,Seniors,30,1,4,1.0,3.0,0,0
2024-07-01,Total Chronic,985,36,17,18.0,23.0,20,3
2024-07-01,Chronic Youth,54,4,2,1.0,4.0,0,1
2024-07-01,Single Adults,907,28,17,17.0,18.0,19,3
2024-07-01,Families,36,4,0,1.0,3.0,0,0
2024-07-01,Indigenous,135,2,3,2.0,4.0,2,0
2024-07-01,Seniors,26,0,0,1.0,1.0,0,0
2024-06-01,Total Chronic,997,50,17,13.0,18.0,27,6
2024-06-01,Chronic Youth,48,4,0,4.0,1.0,0,1
2024-06-01,Single Adults,922,43,17,13.0,15.0,27,5
2024-06-01,Families,34,4,0,0.0,2.0,0,1
2024-06-01,Indigenous,134,5,2,3.0,2.0,4,2
2024-06-01,Seniors,27,2,1,0.0,2.0,0,0
2024-05-01,Total Chronic,989,33,23,15.0,32.0,25,4
2024-05-01,Chronic Youth,51,4,2,4.0,5.0,4,0
2024-05-01,Single Adults,916,26,21,14.0,24.0,24,4
2024-05-01,Families,33,2,1,0.0,3.0,0,0
2024-05-01,Indigenous,136,6,2,0.0,0.0,2,2
2024-05-01,Seniors,26,0,0,1.0,1.0,0,0
2024-04-01,Total Chronic,960,27,21,16.0,25.0,19,5
2024-04-01,Chronic Youth,43,4,1,2.0,2.0,2,0
2024-04-01,Single Adults,896,23,21,15.0,23.0,19,4
2024-04-01,Families,29,2,0,0.0,2.0,0,1
2024-04-01,Indigenous,132,0,3,0.0,4.0,1,1
2024-04-01,Seniors,28,2,1,1.0,2.0,1,0
2024-03-01,Total Chronic,983,41,22,12.0,29.0,19,7
2024-03-01,Chronic Youth,42,0,1,1.0,7.0,1,2
2024-03-01,Single Adults,920,39,22,12.0,24.0,19,7
2024-03-01,Families,27,1,0,0.0,1.0,0,0
2024-03-01,Indigenous,135,4,0,0.0,2.0,1,0
2024-03-01,Seniors,24,1,1,1.0,2.0,1,0
2024-02-01,Total Chronic,995,45,37,8.0,30.0,26,8
2024-02-01,Chronic Youth,38,3,6,0.0,4.0,3,0
2024-02-01,Single Adults,933,42,36,8.0,26.0,25,8
2024-02-01,Families,29,2,1,0.0,1.0,1,0
2024-02-01,Indigenous,136,4,3,0.0,10.0,0,0
2024-02-01,Seniors,26,2,1,0.0,0.0,1,0
2024-01-01,Total Chronic,977,36,25,18.0,43.0,27,8
2024-01-01,Chronic Youth,33,1,2,0.0,4.0,0,1
2024-01-01,Single Adults,918,35,25,18.0,35.0,27,8
2024-01-01,Families,28,1,0,0.0,3.0,0,0
2024-01-01,Indigenous,127,4,0,5.0,3.0,4,0
2024-01-01,Seniors,26,2,1,2.0,1.0,1,0
2023-12-01,Total Chronic,971,45,24,16.0,32.0,13,3
2023-12-01,Chronic Youth,37,1,2,1.0,2.0,1,0
2023-12-01,Single Adults,912,36,24,15.0,27.0,13,3
2023-12-01,Families,29,5,0,0.0,2.0,0,0
2023-12-01,Indigenous,127,6,1,1.0,1.0,1,0
2023-12-01,Seniors,25,1,1,2.0,1.0,0,0
2023-11-01,Total Chronic,971,35,24,23.0,29.0,27,3
2023-11-01,Chronic Youth,46,3,3,0.0,1.0,4,0
2023-11-01,Single Adults,915,32,21,23.0,26.0,26,3
2023-11-01,Families,28,2,1,0.0,1.0,1,0
2023-11-01,Indigenous,127,2,0,3.0,,1,0
2023-11-01,Seniors,25,2,1,1.0,1.0,1,0
2023-10-01,Total Chronic,957,39,33,21.0,30.0,19,4
2023-10-01,Chronic Youth,47,0,5,2.0,3.0,0,1
2023-10-01,Single Adults,896,31,32,21.0,26.0,19,4
2023-10-01,Families,29,3,0,0.0,3.0,0,0
2023-10-01,Indigenous,126,2,2,4.0,1.0,1,0
2023-10-01,Seniors,27,2,1,1.0,3.0,1,0
2023-09-01,Total Chronic,921,18,11,13.0,32.0,15,3
2023-09-01,Chronic Youth,45,2,0,1.0,6.0,3,0
2023-09-01,Single Adults,863,16,11,13.0,25.0,15,3
2023-09-01,Families,24,1,0,0.0,3.0,0,0
2023-09-01,Indigenous,121,3,0,2.0,1.0,2,0
2023-09-01,Seniors,24,1,0,0.0,0.0,1,0
2023-08-01,Total Chronic,896,17,16,15.0,22.0,25,5
2023-08-01,Chronic Youth,42,4,3,0.0,3.0,2,0
2023-08-01,Single Adults,841,15,15,14.0,20.0,22,5
2023-08-01,Families,24,1,1,1.0,1.0,0,0
2023-08-01,Indigenous,120,3,2,1.0,5.0,4,1
2023-08-01,Seniors,24,0,2,1.0,0.0,1,0
2023-07-01,Total Chronic,877,19,23,27.0,16.0,34,6
2023-07-01,Chronic Youth,41,1,0,2.0,0.0,5,0
2023-07-01,Single Adults,824,17,23,26.0,15.0,29,6
2023-07-01,Families,24,1,0,0.0,0.0,2,0
2023-07-01,Indigenous,112,2,3,2.0,2.0,4,0
2023-07-01,Seniors,25,2,1,0.0,0.0,1,0
2023-06-01,Total Chronic,868,23,46,19.0,24.0,21,8
2023-06-01,Chronic Youth,41,2,3,1.0,2.0,2,0
2023-06-01,Single Adults,808,20,42,19.0,21.0,20,8
2023-06-01,Families,29,1,3,0.0,1.0,0,0
2023-06-01,Indigenous,119,6,7,3.0,3.0,2,0
2023-06-01,Seniors,28,1,4,0.0,2.0,1,0
2023-05-01,Total Chronic,835,33,15,11.0,26.0,19,8
2023-05-01,Chronic Youth,43,6,1,0.0,4.0,1,2
2023-05-01,Single Adults,772,23,15,11.0,25.0,17,7
2023-05-01,Families,29,3,0,0.0,1.0,1,0
2023-05-01,Indigenous,117,6,2,1.0,5.0,3,1
2023-05-01,Seniors,23,1,0,0.0,0.0,2,0
2023-04-01,Total Chronic,830,34,23,13.0,25.0,19,6
2023-04-01,Chronic Youth,43,3,2,0.0,1.0,1,1
2023-04-01,Single Adults,768,30,21,13.0,25.0,18,6
2023-04-01,Families,28,2,0,0.0,0.0,0,0
2023-04-01,Indigenous,113,6,2,2.0,4.0,4,1
2023-04-01,Seniors,24,2,1,0.0,3.0,0,0
2023-03-01,Total Chronic,825,27,13,15.0,28.0,52,6
2023-03-01,Chronic Youth,50,4,0,2.0,2.0,1,1
2023-03-01,Single Adults,756,22,13,15.0,25.0,45,5
2023-03-01,Families,29,1,0,0.0,2.0,4,0
2023-03-01,Indigenous,107,4,1,2.0,6.0,8,2
2023-03-01,Seniors,24,2,1,2.0,2.0,1,0
2023-02-01,Total Chronic,756,18,9,19.0,29.0,14,8
2023-02-01,Chronic Youth,46,2,0,1.0,3.0,2,0
2023-02-01,Single Adults,696,18,8,19.0,26.0,13,8
2023-02-01,Families,25,0,1,0.0,1.0,0,0
2023-02-01,Indigenous,94,0,1,3.0,3.0,1,0
2023-02-01,Seniors,21,2,0,2.0,0.0,1,0
2023-01-01,Total Chronic,744,23,16,16.0,15.0,20,4
2023-01-01,Chronic Youth,44,2,2,1.0,3.0,1,0
2023-01-01,Single Adults,682,21,12,15.0,13.0,19,4
2023-01-01,Families,28,1,3,0.0,0.0,1,0
2023-01-01,Indigenous,89,2,0,1.0,2.0,2,0
2023-01-01,Seniors,20,1,2,0.0,0.0,0,0
2022-12-01,Total Chronic,719,25,12,26.0,27.0,14,6
2022-12-01,Chronic Youth,45,5,2,1.0,4.0,2,1
2022-12-01,Single Adults,658,20,12,26.0,25.0,13,6
2022-12-01,Families,27,1,0,0.0,1.0,0,0
2022-12-01,Indigenous,91,5,3,2.0,3.0,1,1
2022-12-01,Seniors,22,1,0,2.0,1.0,0,1
2022-11-01,Total Chronic,670,19,16,14.0,31.0,17,4
2022-11-01,Chronic Youth,44,3,3,4.0,5.0,1,1
2022-11-01,Single Adults,608,16,15,12.0,25.0,16,3
2022-11-01,Families,27,1,1,1.0,2.0,1,1
2022-11-01,Indigenous,90,4,0,2.0,1.0,4,1
2022-11-01,Seniors,17,0,0,0.0,1.0,0,1
2022-10-01,Total Chronic,653,26,20,10.0,22.0,19,1
2022-10-01,Chronic Youth,40,5,1,2.0,4.0,2,0
2022-10-01,Single Adults,603,22,20,8.0,15.0,16,1
2022-10-01,Families,22,2,0,1.0,2.0,2,0
2022-10-01,Indigenous,89,6,2,1.0,1.0,0,0
2022-10-01,Seniors,17,1,0,0.0,2.0,2,0
2022-09-01,Total Chronic,658,19,15,11.0,19.0,13,4
2022-09-01,Chronic Youth,42,4,0,1.0,2.0,0,2
2022-09-01,Single Adults,618,18,13,11.0,14.0,13,4
2022-09-01,Families,18,1,1,0.0,2.0,0,0
2022-09-01,Indigenous,91,3,2,2.0,2.0,1,2
2022-09-01,Seniors,14,0,0,1.0,0.0,0,0
2022-08-01,Total Chronic,658,17,26,9.0,16.0,10,7
2022-08-01,Chronic Youth,47,3,3,2.0,3.0,3,2
2022-08-01,Single Adults,616,14,24,9.0,16.0,10,5
2022-08-01,Families,20,1,2,0.0,0.0,0,1
2022-08-01,Indigenous,92,3,4,1.0,2.0,0,2
2022-08-01,Seniors,15,1,2,0.0,0.0,0,1
2022-07-01,Total Chronic,662,12,17,10.0,27.0,10,2
2022-07-01,Chronic Youth,45,0,2,1.0,5.0,0,0
2022-07-01,Single Adults,616,11,16,9.0,22.0,9,2
2022-07-01,Families,22,1,0,0.0,2.0,0,0
2022-07-01,Indigenous,89,1,0,0.0,1.0,2,0
2022-07-01,Seniors,14,0,0,0.0,1.0,0,0
2022-06-01,Total Chronic,657,14,15,12.0,27.0,11,7
2022-06-01,Chronic Youth,43,2,1,1.0,1.0,0,1
2022-06-01,Single Adults,616,10,14,11.0,24.0,10,7
2022-06-01,Families,20,2,0,1.0,1.0,0,0
2022-06-01,Indigenous,85,0,0,2.0,4.0,1,0
2022-06-01,Seniors,11,0,1,0.0,0.0,0,0
2022-05-01,Total Chronic,669,34,17,17.0,15.0,4,10
2022-05-01,Chronic Youth,41,0,1,3.0,1.0,0,0
2022-05-01,Single Adults,631,32,17,17.0,14.0,4,9
2022-05-01,Families,17,1,0,0.0,1.0,0,0
2022-05-01,Indigenous,87,3,2,4.0,3.0,0,2
2022-05-01,Seniors,13,2,0,0.0,1.0,0,0
2022-04-01,Total Chronic,681,25,20,8.0,21.0,16,7
2022-04-01,Chronic Youth,46,2,2,0.0,2.0,3,2
2022-04-01,Single Adults,636,21,19,8.0,18.0,13,7
2022-04-01,Families,21,2,1,0.0,1.0,1,0
2022-04-01,Indigenous,85,1,3,1.0,1.0,1,1
2022-04-01,Seniors,14,2,1,0.0,0.0,1,0
2022-03-01,Total Chronic,671,19,18,12.0,20.0,22,5
2022-03-01,Chronic Youth,45,1,3,1.0,2.0,1,0
2022-03-01,Single Adults,627,17,17,12.0,18.0,21,5
2022-03-01,Families,22,1,0,0.0,1.0,0,0
2022-03-01,Indigenous,86,3,2,0.0,4.0,2,0
2022-03-01,Seniors,17,2,1,1.0,0.0,1,0
2022-02-01,Total Chronic,642,15,7,12.0,15.0,14,4
2022-02-01,Chronic Youth,47,2,0,0.0,0.0,1,0
2022-02-01,Single Adults,596,13,5,11.0,15.0,14,4
2022-02-01,Families,22,0,1,0.0,0.0,0,0
2022-02-01,Indigenous,87,1,1,1.0,2.0,3,0
2022-02-01,Seniors,15,1,0,1.0,1.0,0,0
2022-01-01,Total Chronic,635,18,18,10.0,14.0,16,7
2022-01-01,Chronic Youth,55,4,4,1.0,2.0,0,0
2022-01-01,Single Adults,589,17,18,10.0,11.0,16,6
2022-01-01,Families,24,0,0,0.0,2.0,0,0
2022-01-01,Indigenous,83,1,2,1.0,0.0,3,0
2022-01-01,Seniors,13,0,0,0.0,0.0,1,0
2021-12-01,Total Chronic,629,19,22,19.0,21.0,24,7
2021-12-01,Chronic Youth,57,2,1,3.0,1.0,1,2
2021-12-01,Single Adults,582,16,18,19.0,19.0,21,5
2021-12-01,Families,25,2,3,0.0,1.0,1,1
2021-12-01,Indigenous,81,1,3,1.0,2.0,6,1
2021-12-01,Seniors,12,1,1,1.0,2.0,0,0
2021-11-01,Total Chronic,595,9,27,11.0,17.0,19,5
2021-11-01,Chronic Youth,58,1,3,2.0,1.0,0,0
2021-11-01,Single Adults,549,8,23,9.0,14.0,14,5
2021-11-01,Families,25,1,2,2.0,1.0,3,0
2021-11-01,Indigenous,80,1,4,1.0,2.0,3,1
2021-11-01,Seniors,11,0,2,1.0,0.0,0,0
2021-10-01,Total Chronic,587,17,37,12.0,9.0,10,5
2021-10-01,Chronic Youth,59,2,2,1.0,2.0,3,0
2021-10-01,Single Adults,542,13,36,12.0,7.0,8,5
2021-10-01,Families,27,2,1,0.0,2.0,1,0
2021-10-01,Indigenous,74,1,4,0.0,0.0,1,0
2021-10-01,Seniors,10,0,1,0.0,1.0,0,0
2021-09-01,Total Chronic,606,14,24,15.0,21.0,17,4
2021-09-01,Chronic Youth,57,0,4,2.0,3.0,2,0
2021-09-01,Single Adults,561,13,23,12.0,18.0,14,3
2021-09-01,Families,24,0,1,2.0,2.0,2,0
2021-09-01,Indigenous,74,1,0,2.0,2.0,3,0
2021-09-01,Seniors,12,2,1,0.0,0.0,0,0
2021-08-01,Total Chronic,582,16,19,14.0,14.0,18,4
2021-08-01,Chronic Youth,53,0,1,2.0,0.0,4,0
2021-08-01,Single Adults,540,15,15,12.0,13.0,16,4
2021-08-01,Families,22,0,2,1.0,1.0,0,0
2021-08-01,Indigenous,70,2,2,,2.0,1,0
2021-08-01,Seniors,15,1,1,2.0,1.0,0,1
2021-07-01,Total Chronic,583,18,17,13.0,16.0,36,4
2021-07-01,Chronic Youth,48,1,0,1.0,2.0,3,0
2021-07-01,Single Adults,538,16,16,13.0,16.0,33,4
2021-07-01,Families,24,1,1,0.0,0.0,2,0
2021-07-01,Indigenous,73,2,4,2.0,0.0,3,1
2021-07-01,Seniors,14,1,2,0.0,1.0,1,0
2021-06-01,Total Chronic,562,21,16,8.0,16.0,9,5
2021-06-01,Chronic Youth,51,1,7,1.0,1.0,1,1
2021-06-01,Single Adults,520,17,16,8.0,13.0,8,4
2021-06-01,Families,21,2,0,0.0,1.0,1,0
2021-06-01,Indigenous,72,0,5,0.0,4.0,1,2
2021-06-01,Seniors,13,0,0,1.0,1.0,0,0
2021-05-01,Total Chronic,558,21,15,15.0,12.0,18,5
2021-05-01,Chronic Youth,49,0,0,2.0,3.0,1,1
2021-05-01,Single Adults,519,20,15,15.0,12.0,18,5
2021-05-01,Families,20,0,0,0.0,0.0,0,0
2021-05-01,Indigenous,68,1,1,1.0,2.0,1,1
2021-05-01,Seniors,14,1,2,1.0,1.0,0,0
2021-04-01,Total Chronic,548,17,16,10.0,21.0,19,6
2021-04-01,Chronic Youth,47,2,3,2.0,2.0,2,1
2021-04-01,Single Adults,506,15,15,9.0,19.0,16,6
2021-04-01,Families,21,1,1,1.0,1.0,1,0
2021-04-01,Indigenous,64,1,1,1.0,2.0,2,1
2021-04-01,Seniors,11,0,1,0.0,0.0,0,0
2021-03-01,Total Chronic,521,16,20,15.0,8.0,18,8
2021-03-01,Chronic Youth,46,2,4,3.0,2.0,4,0
2021-03-01,Single Adults,485,13,16,15.0,7.0,16,7
2021-03-01,Families,19,2,1,0.0,1.0,1,1
2021-03-01,Indigenous,62,3,6,2.0,0.0,4,1
2021-03-01,Seniors,10,0,0,0.0,0.0,1,1
2021-02-01,Total Chronic,528,21,17,15.0,21.0,15,2
2021-02-01,Chronic Youth,43,1,3,1.0,1.0,2,0
2021-02-01,Single Adults,486,21,13,15.0,18.0,15,2
2021-02-01,Families,20,0,1,0.0,1.0,0,0
2021-02-01,Indigenous,60,4,2,1.0,3.0,2,0
2021-02-01,Seniors,8,0,1,0.0,0.0,2,0
