month,category,active_homeless,move_ins,moved_to_inactive,newly_identified,returned_inactive,returned_housing,aged_in_chronic
2026-01-01,Total,1448.0,57.0,32.0,84.0,41.0,22.0,2.0
2026-01-01,Youth,90.0,4.0,2.0,10.0,5.0,2.0,0.0
2026-01-01,Single Adults,1304.0,27.0,29.0,79.0,32.0,13.0,2.0
2026-01-01,Families,65.0,12.0,3.0,4.0,2.0,4.0,0.0
2026-01-01,Indigenous,160.0,8.0,1.0,4.0,2.0,2.0,0.0
2026-01-01,Homeless Asylum Seekers,62.0,,,5.0,1.0,6.0,5.0
2026-01-01,Seniors,68.0,0.0,4.0,4.0,0.0,1.0,0.0
2026-01-01,Veteran,18.0,1.0,0.0,1.0,2.0,0.0,0.0
2026-01-01,Veteran Chronic,14.0,1.0,0.0,0.0,1.0,0.0,0.0
2026-01-01,Unsheltered,486.0,3.0,8.0,16.0,18.0,3.0,0.0
2026-02-01,Total,1431.0,50.0,12.0,66.0,20.0,14.0,3.0
2026-02-01,Youth,94.0,5.0,0.0,12.0,3.0,4.0,1.0
2026-02-01,Single Adults,1284.0,25.0,10.0,63.0,19.0,11.0,3.0
2026-02-01,Families,63.0,8.0,2.0,1.0,0.0,1.0,0.0
2026-02-01,Indigenous,163.0,2.0,1.0,5.0,2.0,1.0,1.0
2026-02-01,Homeless Asylum Seekers,61.0,,,1.0,0.0,7.0,3.0
2026-02-01,Seniors,68.0,2.0,1.0,5.0,1.0,0.0,0.0
2026-02-01,Veteran,17.0,0.0,1.0,2.0,2.0,0.0,0.0
2026-02-01,Veteran Chronic,11.0,0.0,1.0,0.0,2.0,0.0,0.0
2026-02-01,Unsheltered,470.0,2.0,7.0,10.0,5.0,4.0,1.0
2026-03-01,Total,1490.0,44.0,22.0,87.0,34.0,22.0,7.0
2026-03-01,Youth,93.0,2.0,0.0,12.0,4.0,2.0,0.0
2026-03-01,Single Adults,1343.0,36.0,22.0,75.0,33.0,18.0,6.0
2026-03-01,Families,65.0,4.0,0.0,3.0,1.0,3.0,1.0
2026-03-01,Indigenous,179.0,4.0,1.0,10.0,7.0,2.0,0.0
2026-03-01,Homeless Asylum Seekers,58.0,,,3.0,0.0,10.0,5.0
2026-03-01,Seniors,68.0,0.0,3.0,5.0,2.0,1.0,1.0
2026-03-01,Veteran,20.0,1.0,0.0,1.0,0.0,0.0,0.0
2026-03-01,Veteran Chronic,13.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-01,Unsheltered,504.0,3.0,6.0,23.0,18.0,7.0,1.0
2026-04-01,Total,1540.0,62.0,18.0,78.0,32.0,20.0,
2026-04-01,Youth,111.0,7.0,3.0,17.0,6.0,4.0,
2026-04-01,Single Adults,1357.0,35.0,11.0,64.0,28.0,18.0,
2026-04-01,Families,77.0,10.0,1.0,4.0,2.0,1.0,
2026-04-01,Indigenous,180.0,6.0,2.0,7.0,4.0,3.0,
2026-04-01,Homeless Asylum Seekers,61.0,,,3.0,0.0,10.0,
2026-04-01,Seniors,70.0,2.0,0.0,2.0,0.0,1.0,
2026-04-01,Veteran,20.0,3.0,0.0,0.0,1.0,0.0,
2026-04-01,Veteran Chronic,14.0,0.0,0.0,0.0,0.0,2.0,
2026-04-01,Unsheltered,520.0,7.0,4.0,14.0,11.0,9.0,
2026-05-01,Total,1543.0,57.0,28.0,79.0,28.0,10.0,
2026-05-01,Youth,110.0,12.0,3.0,12.0,3.0,2.0,
2026-05-01,Single Adults,1377.0,40.0,24.0,67.0,25.0,10.0,
2026-05-01,Families,65.0,7.0,2.0,4.0,1.0,0.0,
2026-05-01,Indigenous,182.0,6.0,6.0,2.0,2.0,0.0,
2026-05-01,Homeless Asylum Seekers,57.0,,,1.0,1.0,8.0,
2026-05-01,Seniors,78.0,3.0,3.0,7.0,1.0,1.0,
2026-05-01,Veteran,18.0,0.0,2.0,2.0,0.0,0.0,
2026-05-01,Veteran Chronic,14.0,0.0,1.0,1.0,0.0,0.0,
2026-05-01,Unsheltered,503.0,2.0,9.0,17.0,12.0,3.0,
2026-06-01,Total,1552.0,64.0,23.0,89.0,29.0,13.0,
2026-06-01,Youth,104.0,4.0,0.0,14.0,3.0,1.0,
2026-06-01,Single Adults,1402.0,37.0,20.0,80.0,28.0,11.0,
2026-06-01,Families,61.0,10.0,2.0,2.0,1.0,1.0,
2026-06-01,Indigenous,174.0,4.0,2.0,4.0,1.0,0.0,
2026-06-01,Seniors,76.0,3.0,1.0,8.0,3.0,0.0,
2026-06-01,Veteran,13.0,1.0,0.0,0.0,0.0,0.0,
2026-06-01,Veteran Chronic,10.0,1.0,0.0,0.0,0.0,0.0,
2026-06-01,Unsheltered,516.0,5.0,11.0,19.0,12.0,2.0,
2025-12-01,Total,1408.0,64.0,36.0,63.0,19.0,13.0,8.0
2025-12-01,Youth,90.0,9.0,5.0,5.0,1.0,0.0,1.0
2025-12-01,Single Adults,1274.0,32.0,36.0,58.0,18.0,12.0,7.0
2025-12-01,Families,59.0,12.0,0.0,1.0,1.0,1.0,1.0
2025-12-01,Indigenous,154.0,8.0,3.0,6.0,2.0,0.0,0.0
2025-12-01,Homeless Asylum Seekers,50.0,,,10.0,2.0,5.0,7.0
2025-12-01,Homeless Seniors,62.0,5.0,0.0,4.0,0.0,1.0,1.0
2025-12-01,Veteran,18.0,2.0,0.0,1.0,0.0,0.0,0.0
2025-12-01,Veteran Chronic,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,Unsheltered,470.0,4.0,12.0,17.0,7.0,3.0,2.0
2025-11-01,Total,1434.0,53.0,48.0,67.0,20.0,16.0,6.0
2025-11-01,Youth,102.0,9.0,4.0,5.0,3.0,1.0,0.0
2025-11-01,Single Adults,1291.0,23.0,47.0,62.0,18.0,12.0,6.0
2025-11-01,Families,63.0,13.0,0.0,2.0,1.0,2.0,0.0
2025-11-01,Indigenous,155.0,2.0,4.0,7.0,4.0,2.0,0.0
2025-11-01,Homeless Asylum Seekers,,,,,,,
2025-11-01,Seniors,57.0,1.0,0.0,4.0,0.0,1.0,1.0
2025-11-01,Veteran,20.0,1.0,2.0,0.0,0.0,0.0,0.0
2025-11-01,Veteran Chronic,16.0,,,,,,
2025-11-01,Unsheltered,462.0,2.0,20.0,25.0,10.0,7.0,2.0
2025-10-01,Total,1419.0,56.0,14.0,95.0,17.0,19.0,3.0
2025-10-01,Youth,108.0,3.0,0.0,16.0,2.0,0.0,1.0
2025-10-01,Single Adults,1290.0,46.0,14.0,88.0,16.0,16.0,3.0
2025-10-01,Families,56.0,4.0,0.0,3.0,1.0,1.0,0.0
2025-10-01,Indigenous,144.0,6.0,0.0,6.0,0.0,1.0,0.0
2025-10-01,Homeless Asylum Seekers,,,,,,,
2025-10-01,Seniors,58.0,5.0,0.0,6.0,1.0,1.0,0.0
2025-10-01,Veteran,21.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,Veteran Chronic,15.0,,,,,,
2025-10-01,Unsheltered,440.0,6.0,10.0,22.0,8.0,4.0,1.0
2025-09-01,Total,1388.0,50.0,12.0,88.0,26.0,15.0,5.0
2025-09-01,Youth,112.0,1.0,0.0,22.0,4.0,2.0,2.0
2025-09-01,Single Adults,1266.0,38.0,9.0,82.0,24.0,15.0,5.0
2025-09-01,Families,51.0,4.0,2.0,3.0,2.0,0.0,0.0
2025-09-01,Indigenous,136.0,3.0,0.0,11.0,2.0,0.0,0.0
2025-09-01,Homeless Asylum Seekers,,,,,,,
2025-09-01,Seniors,52.0,1.0,1.0,4.0,0.0,1.0,0.0
2025-09-01,Veteran,21.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,Veteran Chronic,16.0,,,,,,
2025-09-01,Unsheltered,446.0,4.0,3.0,25.0,11.0,6.0,2.0
2025-08-01,Total,1324.0,48.0,16.0,90.0,20.0,27.0,5.0
2025-08-01,Youth,99.0,7.0,1.0,16.0,2.0,4.0,0.0
2025-08-01,Single Adults,1204.0,31.0,13.0,82.0,20.0,23.0,4.0
2025-08-01,Families,49.0,6.0,1.0,4.0,0.0,2.0,1.0
2025-08-01,Indigenous,126.0,2.0,5.0,5.0,1.0,3.0,0.0
2025-08-01,Homeless Asylum Seekers,,,,,,,
2025-08-01,Seniors,51.0,2.0,1.0,6.0,0.0,2.0,0.0
2025-08-01,Veteran,20.0,0.0,1.0,2.0,1.0,0.0,0.0
2025-08-01,Veteran Chronic,15.0,,,,,,
2025-08-01,Unsheltered,416.0,6.0,9.0,22.0,14.0,6.0,3.0
2025-07-01,Total,1316.0,61.0,25.0,76.0,19.0,23.0,9.0
2025-07-01,Youth,93.0,3.0,4.0,13.0,1.0,3.0,0.0
2025-07-01,Single Adults,1183.0,37.0,23.0,69.0,18.0,19.0,7.0
2025-07-01,Families,53.0,9.0,1.0,2.0,0.0,1.0,1.0
2025-07-01,Indigenous,125.0,5.0,2.0,1.0,0.0,3.0,0.0
2025-07-01,Homeless Asylum Seekers,,,,,,,
2025-07-01,Seniors,48.0,4.0,3.0,1.0,0.0,1.0,0.0
2025-07-01,Veteran,17.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-07-01,Veteran Chronic,15.0,,,,,,
2025-07-01,Unsheltered,421.0,4.0,11.0,16.0,14.0,7.0,2.0
2025-06-01,Total,1420.0,66.0,46.0,93.0,25.0,28.0,33.0
2025-06-01,Youth,101.0,6.0,5.0,12.0,1.0,4.0,5.0
2025-06-01,Single Adults,1274.0,43.0,45.0,80.0,23.0,20.0,31.0
2025-06-01,Families,59.0,9.0,0.0,5.0,2.0,2.0,1.0
2025-06-01,Indigenous,168.0,5.0,6.0,5.0,4.0,2.0,3.0
2025-06-01,Homeless Asylum Seekers,,,,,,,
2025-06-01,Seniors,61.0,3.0,5.0,4.0,0.0,4.0,1.0
2025-06-01,Veteran,18.0,1.0,0.0,1.0,0.0,0.0,1.0
2025-06-01,Veteran Chronic,15.0,,,,,,
2025-06-01,Unsheltered,470.0,7.0,18.0,31.0,5.0,10.0,4.0
2025-05-01,Total,1393.0,74.0,29.0,83.0,37.0,24.0,26.0
2025-05-01,Youth,99.0,12.0,4.0,7.0,5.0,3.0,5.0
2025-05-01,Single Adults,1251.0,49.0,27.0,73.0,33.0,21.0,22.0
2025-05-01,Families,56.0,9.0,1.0,4.0,1.0,1.0,2.0
2025-05-01,Indigenous,167.0,5.0,2.0,3.0,6.0,5.0,2.0
2025-05-01,Homeless Asylum Seekers,,,,,,,
2025-05-01,Seniors,57.0,3.0,0.0,4.0,0.0,3.0,1.0
2025-05-01,Veteran,18.0,1.0,0.0,,0.0,0.0,
2025-05-01,Veteran Chronic,14.0,,,,,,
2025-05-01,Unsheltered,450.0,1.0,9.0,25.0,22.0,5.0,3.0
2025-04-01,Total,1392.0,98.0,46.0,76.0,24.0,22.0,26.0
2025-04-01,Youth,102.0,13.0,7.0,7.0,1.0,3.0,1.0
