month,odsp_cases_official,odsp_beneficiaries,cases_added,cases_removed,odsp_net_change,beneficiaries_per_case
2012-04-01,9880,13537,149.0,153.0,-4.0,1.3701417004048584
2012-05-01,9931,13600,204.0,153.0,51.0,1.369449199476387
2012-06-01,9960,13666,184.0,155.0,29.0,1.3720883534136545
2012-07-01,9975,13661,168.0,153.0,15.0,1.3695238095238096
2012-08-01,10001,13761,179.0,153.0,26.0,1.375962403759624
2012-09-01,10032,13794,163.0,132.0,31.0,1.375
2012-10-01,10075,13854,200.0,157.0,43.0,1.3750868486352357
2012-11-01,10088,13869,146.0,133.0,13.0,1.3748017446471055
2012-12-01,10088,13839,143.0,143.0,0.0,1.3718279143536876
2013-01-01,10129,13916,188.0,147.0,41.0,1.373876986869385
2013-02-01,10114,13906,153.0,168.0,-15.0,1.3749258453628634
2013-03-01,10158,13942,173.0,129.0,44.0,1.372514274463477
2013-04-01,10168,13944,165.0,155.0,10.0,1.3713611329661684
2013-05-01,10183,13990,167.0,152.0,15.0,1.3738583914367082
2013-06-01,10198,14011,160.0,145.0,15.0,1.3738968425181408
2013-07-01,10253,14072,198.0,143.0,55.0,1.3724763483858382
2013-08-01,10296,14145,187.0,144.0,43.0,1.3738344988344988
2013-09-01,10367,14214,212.0,141.0,71.0,1.371081315713321
2013-10-01,10404,14264,189.0,152.0,37.0,1.3710111495578623
2013-11-01,10453,14306,188.0,139.0,49.0,1.3686023151248445
2013-12-01,10495,14365,166.0,124.0,42.0,1.3687470223916152
2014-01-01,10511,14384,155.0,139.0,16.0,1.3684711254875845
2014-02-01,10557,14445,169.0,123.0,46.0,1.3682864450127876
2014-03-01,10606,14522,178.0,129.0,49.0,1.3692249669998113
2014-04-01,10625,14530,158.0,139.0,19.0,1.3675294117647059
2014-05-01,10652,14578,159.0,132.0,27.0,1.3685692827638003
2014-06-01,10683,14629,199.0,168.0,31.0,1.3693718992792288
2014-07-01,10740,14703,206.0,149.0,57.0,1.3689944134078211
2014-08-01,10774,14735,178.0,144.0,34.0,1.3676443289400408
2014-09-01,10817,14781,205.0,162.0,43.0,1.3664602015346214
2014-10-01,10867,14847,217.0,167.0,50.0,1.3662464341584615
2014-11-01,11134,15233,397.0,220.0,177.0,1.3681516076881624
2014-12-01,11005,15067,178.0,377.0,-199.0,1.3691049522944116
