month,ow_cases_official,ow_beneficiaries,cases_added,cases_removed,ow_net_change,beneficiaries_per_case
2012-04-01,8718,16040,500,657,-157,1.8398715301674695
2012-05-01,8851,16246,792,665,127,1.835498813693368
2012-06-01,8742,16089,610,718,-108,1.8404255319148937
2012-07-01,8675,16010,612,678,-66,1.8455331412103746
2012-08-01,8721,16137,673,635,38,1.850361197110423
2012-09-01,8567,15895,567,724,-157,1.855375277226567
2012-10-01,8330,15390,618,855,-237,1.8475390156062426
2012-11-01,8350,15443,707,669,38,1.8494610778443115
2012-12-01,8463,15500,691,575,116,1.8315018315018314
2013-01-01,8576,15580,632,528,104,1.8166977611940298
2013-02-01,8563,15531,631,644,-13,1.8137335046128693
2013-03-01,8516,15414,539,604,-65,1.8100046970408643
2013-04-01,8533,15417,588,581,7,1.806750263682175
2013-05-01,8659,15731,670,539,131,1.816722485275436
2013-06-01,8599,15668,579,623,-44,1.8220723339923246
2013-07-01,8480,15532,526,633,-107,1.8316037735849056
2013-08-01,8473,15597,597,602,-5,1.840788386639915
2013-09-01,8352,15403,553,668,-115,1.8442289272030652
2013-10-01,8176,14992,562,731,-169,1.8336594911937378
2013-11-01,8205,14994,583,571,12,1.8274223034734918
2013-12-01,8143,14838,570,625,-55,1.8221785582709076
2014-01-01,8318,15150,659,479,180,1.8213512863669152
2014-02-01,8379,15185,566,516,50,1.8122687671559852
2014-03-01,8417,15200,549,527,22,1.8058690744920993
2014-04-01,8550,15385,565,444,121,1.7994152046783625
2014-05-01,8620,15650,594,542,52,1.8155452436194897
2014-06-01,8543,15573,536,610,-74,1.8228959381950134
2014-07-01,8457,15391,497,596,-99,1.8199124985219346
2014-08-01,8335,15250,495,603,-108,1.8296340731853629
2014-09-01,8226,15114,531,636,-105,1.837345003646973
2014-10-01,8084,14811,569,704,-135,1.8321375556655122
2014-11-01,7981,14550,724,615,109,1.823079814559579
2014-12-01,8022,14577,622,502,120,1.8171278982797308
2015-01-01,8257,14896,639,518,121,1.8040450526825724
2015-02-01,8270,14928,691,551,140,1.8050785973397823
2015-03-01,8391,15071,582,508,74,1.7960910499344536
2015-04-01,8460,15264,565,454,111,1.804255319148936
2015-05-01,8579,15546,578,475,103,1.8120993122741578
2015-06-01,8548,15502,706,695,11,1.813523631258774
2015-07-01,8536,15539,534,562,-28,1.8204076850984068
2015-08-01,8559,15608,542,559,-17,1.823577520738404
2015-09-01,8399,15287,582,729,-147,1.8200976306703178
2015-10-01,8394,15239,552,621,-69,1.81546342625685
2015-11-01,8382,15179,563,602,-39,1.8109043187783345
2015-12-01,8310,15004,544,600,-56,1.8055354993983153
2016-01-01,8495,15235,618,550,68,1.7934078869923484
2016-02-01,8540,15244,576,555,21,1.7850117096018736
2016-03-01,8667,15413,620,519,101,1.7783546786662052
2016-04-01,8640,15356,578,645,-67,1.7773148148148148
2016-05-01,8665,15447,649,624,25,1.7826889786497404
2016-06-01,8732,15633,625,558,67,1.7903114979386165
2016-07-01,8755,15691,562,539,23,1.7922330097087378
2016-08-01,8620,15513,568,703,-135,1.7996519721577726
2016-09-01,8690,15644,650,580,70,1.8002301495972381
2016-10-01,8602,15476,955,1043,-88,1.7991164845384795
2016-11-01,8616,15477,857,843,14,1.7963091922005572
2016-12-01,8693,15601,599,522,77,1.7946623720234671
2017-01-01,8761,15916,662,594,68,1.8166875927405548
2017-02-01,8891,16297,672,542,130,1.8329771679226183
