month,total_visits,total_people_served,unique_clients,unique_households,avg_household_size,avg_client_age,ow_cases_official,ow_beneficiaries,odsp_cases_official,odsp_beneficiaries,total_homeless,total_chronic_homeless
2015-01-01,1864,2205,1327,1305,1.2567049808429118,41.941950464396285,8257,14896,10998,15022,,
2015-02-01,1992,2673,1456,1428,1.3242296918767507,42.47801814375436,8270,14928,11000,15052,,
2015-03-01,5015,10000,3838,3753,2.005062616573408,42.841428196377,8391,15071,11056,15140,,
2015-04-01,4811,9753,3595,3495,1.9919885550786838,42.80635188308038,8460,15264,11066,15150,,
2015-05-01,4899,10421,3670,3580,2.0812849162011173,42.74267551133223,8579,15546,11002,15042,,
2015-06-01,5359,11646,3853,3723,2.0942788074133762,42.56543535620053,8548,15502,11061,15115,,
2015-07-01,4940,10505,3605,3503,2.0579503282900373,43.18283791362872,8536,15539,11131,15207,,
2015-08-01,5026,11441,3689,3585,2.1090655509065552,43.10666301069372,8559,15608,11073,15108,,
2015-09-01,5249,12250,3608,3497,2.164140692021733,43.1376404494382,8399,15287,11184,15292,,
2015-10-01,5287,12924,3508,3376,2.2106042654028437,43.43881370572991,8394,15239,11202,15301,,
2015-11-01,5514,14144,3799,3652,2.3507667031763417,42.71775499190502,8382,15179,11155,15224,,
2015-12-01,4835,13395,3205,3066,2.605022831050228,43.59609224855862,8310,15004,11254,15373,,
2016-01-01,5695,14416,3893,3750,2.408533333333333,42.58544883538341,8495,15235,11203,15255,,
2016-02-01,5697,15001,3988,3847,2.504029113595009,42.32812899923215,8540,15244,11288,15372,,
2016-03-01,6250,16438,4220,4072,2.4990176817288803,42.65203685741998,8667,15413,11324,15413,,
2016-04-01,6175,16337,4231,4053,2.4890204786577845,43.05728038507822,8640,15356,11325,15412,,
2016-05-01,6330,17119,4343,4197,2.571122230164403,43.0203604025275,8665,15447,11347,15463,,
2016-06-01,6563,17472,4376,4217,2.5013042447237375,43.03676983942285,8732,15633,11422,15568,,
2016-07-01,5196,13778,3638,3500,2.49,43.17897091722595,8755,15691,11380,15454,,
2016-08-01,5657,15241,3914,3790,2.4978891820580476,43.09874279727606,8620,15513,11487,15574,,
2016-09-01,5659,15250,3841,3703,2.497164461247637,43.433112582781455,8690,15644,11514,15652,,
2016-10-01,5252,14213,3598,3480,2.4971264367816093,43.550230946882216,8602,15476,11510,15633,,
2016-11-01,6634,18322,4480,4308,2.5872794800371404,43.67629006592407,8616,15477,11640,15849,,
2016-12-01,5384,15517,3637,3493,2.646149441740624,43.73312883435583,8693,15601,11691,15925,,
2017-01-01,5889,15226,3952,3807,2.468610454426057,43.37250384024578,8761,15916,11643,15823,,
2017-02-01,5871,15787,3916,3764,2.5462274176408077,43.63155176865479,8891,16297,11795,16095,,
2017-03-01,6622,17608,4180,4035,2.492936802973978,43.53982086661825,9055,16720,11838,16162,,
