month,total_people_served,year,month_num,total_people_served_lag1,total_people_served_lag2,total_people_served_lag3,total_people_served_lag6,total_people_served_lag12,total_people_served_rollingavg3,total_people_served_rollingavg6,total_people_served_rollingavg12,ow_cases_official_lag1,ow_beneficiaries_lag1,odsp_cases_official_lag1,odsp_beneficiaries_lag1,total_homeless_lag1,total_chronic_homeless_lag1,cpi_all_items_lag1,cpi_food_lag1,cpi_shelter_lag1,unemployment_rate_lag1
2015-01-01,2205,2015,1,,,,,,,,,,,,,,,,,,
2015-02-01,2673,2015,2,2205.0,,,,,,,,8257.0,14896.0,10998.0,15022.0,,,125.3,140.2,133.4,
2015-03-01,10000,2015,3,2673.0,2205.0,,,,,,,8270.0,14928.0,11000.0,15052.0,,,126.2,140.3,133.5,7.0
2015-04-01,9753,2015,4,10000.0,2673.0,2205.0,,,4959.333333333333,,,8391.0,15071.0,11056.0,15140.0,,,127.1,140.2,133.8,6.9
2015-05-01,10421,2015,5,9753.0,10000.0,2673.0,,,7475.333333333333,,,8460.0,15264.0,11066.0,15150.0,,,126.9,140.0,133.5,6.9
2015-06-01,11646,2015,6,10421.0,9753.0,10000.0,,,10058.0,,,8579.0,15546.0,11002.0,15042.0,,,127.7,141.7,134.1,6.5
2015-07-01,10505,2015,7,11646.0,10421.0,9753.0,2205.0,,10606.666666666666,7783.0,,8548.0,15502.0,11061.0,15115.0,,,128.2,141.9,134.4,6.6
2015-08-01,11441,2015,8,10505.0,11646.0,10421.0,2673.0,,10857.333333333334,9166.333333333334,,8536.0,15539.0,11131.0,15207.0,,,128.4,141.6,134.9,6.8
2015-09-01,12250,2015,9,11441.0,10505.0,11646.0,10000.0,,11197.333333333334,10627.666666666666,,8559.0,15608.0,11073.0,15108.0,,,128.0,141.4,135.0,6.9
2015-10-01,12924,2015,10,12250.0,11441.0,10505.0,9753.0,,11398.666666666666,11002.666666666666,,8399.0,15287.0,11184.0,15292.0,,,127.8,140.0,135.1,6.9
2015-11-01,14144,2015,11,12924.0,12250.0,11441.0,10421.0,,12205.0,11531.166666666666,,8394.0,15239.0,11202.0,15301.0,,,127.9,141.3,135.0,7.0
2015-12-01,13395,2015,12,14144.0,12924.0,12250.0,11646.0,,13106.0,12151.666666666666,,8382.0,15179.0,11155.0,15224.0,,,127.9,142.4,135.3,6.9
2016-01-01,14416,2016,1,13395.0,14144.0,12924.0,10505.0,2205.0,13487.666666666666,12443.166666666666,10113.083333333334,8310.0,15004.0,11254.0,15373.0,,,127.5,143.6,135.5,6.8
2016-02-01,15001,2016,2,14416.0,13395.0,14144.0,11441.0,2673.0,13985.0,13095.0,11130.666666666666,8495.0,15235.0,11203.0,15255.0,,,127.8,145.7,136.1,6.7
2016-03-01,16438,2016,3,15001.0,14416.0,13395.0,12250.0,10000.0,14270.666666666666,13688.333333333334,12158.0,8540.0,15244.0,11288.0,15372.0,,,128.2,146.9,136.2,6.8
2016-04-01,16337,2016,4,16438.0,15001.0,14416.0,12924.0,9753.0,15285.0,14386.333333333334,12694.5,8667.0,15413.0,11324.0,15413.0,,,129.0,146.1,136.5,6.9
2016-05-01,17119,2016,5,16337.0,16438.0,15001.0,14144.0,10421.0,15925.333333333334,14955.166666666666,13243.166666666666,8640.0,15356.0,11325.0,15412.0,,,129.6,145.1,136.9,7.2
2016-06-01,17472,2016,6,17119.0,16337.0,16438.0,13395.0,11646.0,16631.333333333332,15451.0,13801.333333333334,8665.0,15447.0,11347.0,15463.0,,,130.1,144.0,137.5,6.5
2016-07-01,13778,2016,7,17472.0,17119.0,16337.0,14416.0,10505.0,16976.0,16130.5,14286.833333333334,8732.0,15633.0,11422.0,15568.0,,,130.4,143.8,138.0,6.5
2016-08-01,15241,2016,8,13778.0,17472.0,17119.0,15001.0,11441.0,16123.0,16024.166666666666,14559.583333333334,8755.0,15691.0,11380.0,15454.0,,,130.3,144.0,138.5,6.3
2016-09-01,15250,2016,9,15241.0,13778.0,17472.0,16438.0,12250.0,15497.0,16064.166666666666,14876.25,8620.0,15513.0,11487.0,15574.0,,,129.9,142.4,138.7,6.5
2016-10-01,14213,2016,10,15250.0,15241.0,13778.0,16337.0,12924.0,14756.333333333334,15866.166666666666,15126.25,8690.0,15644.0,11514.0,15652.0,,,130.1,140.5,138.9,6.5
2016-11-01,18322,2016,11,14213.0,15250.0,15241.0,17119.0,14144.0,14901.333333333334,15512.166666666666,15233.666666666666,8602.0,15476.0,11510.0,15633.0,,,130.6,140.8,139.5,6.4
2016-12-01,15517,2016,12,18322.0,14213.0,15250.0,17472.0,13395.0,15928.333333333334,15712.666666666666,15581.833333333334,8616.0,15477.0,11640.0,15849.0,,,130.2,141.6,139.9,6.3
2017-01-01,15226,2017,1,15517.0,18322.0,14213.0,13778.0,14416.0,16017.333333333334,15386.833333333334,15758.666666666666,8693.0,15601.0,11691.0,15925.0,,,130.0,141.5,140.1,6.5
2017-02-01,15787,2017,2,15226.0,15517.0,18322.0,15241.0,15001.0,16355.0,15628.166666666666,15826.166666666666,8761.0,15916.0,11643.0,15823.0,,,130.8,142.1,140.2,6.6
2017-03-01,17608,2017,3,15787.0,15226.0,15517.0,15250.0,16438.0,15510.0,15719.166666666666,15891.666666666666,8891.0,16297.0,11795.0,16095.0,,,131.2,142.6,140.2,6.3
