month,total_people_served,year,month_num,total_people_served_lag1,total_people_served_lag2,total_people_served_lag3,total_people_served_lag6,total_people_served_lag12,total_people_served_rollingavg3,total_people_served_rollingavg6,total_people_served_rollingavg12,ow_cases_official_lag1,ow_beneficiaries_lag1,odsp_cases_official_lag1,odsp_beneficiaries_lag1,total_homeless_lag1,total_chronic_homeless_lag1,cpi_all_items_lag1,cpi_food_lag1,cpi_shelter_lag1,unemployment_rate_lag1,time_index,log_total_people_served
2019-02-01,15168,2019,2,17755.0,14797.0,20868.0,17136.0,15284.0,17806.666666666668,17078.666666666668,16431.0,9137.0,17353.0,12724.0,17491.0,754.0,293.0,135.2,151.6,145.0,5.6,0,9.626943224494804
2019-03-01,17519,2019,3,15168.0,17755.0,14797.0,14976.0,16676.0,15906.666666666666,16750.666666666668,16421.333333333332,9173.0,17440.0,12728.0,17528.0,725.0,298.0,136.0,151.9,145.5,5.6,1,9.771041285235823
2019-04-01,16438,2019,4,17519.0,15168.0,17755.0,16940.0,15171.0,16814.0,17174.5,16491.583333333332,9063.0,17176.0,12783.0,17615.0,738.0,302.0,137.0,151.9,145.8,5.9,2,9.707351006708445
2019-05-01,19111,2019,5,16438.0,17519.0,15168.0,20868.0,16933.0,16375.0,17090.833333333332,16597.166666666668,9133.0,17353.0,12742.0,17578.0,764.0,327.0,137.4,151.8,146.5,5.9,3,9.858019364488982
2019-06-01,16486,2019,6,19111.0,16438.0,17519.0,14797.0,15122.0,17689.333333333332,16798.0,16778.666666666668,9255.0,17641.0,12800.0,17646.0,758.0,363.0,138.1,152.7,146.6,5.2,4,9.710266814873172
2019-07-01,17855,2019,7,16486.0,19111.0,16438.0,17755.0,15514.0,17345.0,17079.5,16892.333333333332,9243.0,17637.0,12680.0,17461.0,697.0,366.0,138.0,153.7,146.8,5.3,5,9.790038860028549
2019-08-01,18604,2019,8,17855.0,16486.0,19111.0,15168.0,17136.0,17817.333333333332,17096.166666666668,17087.416666666668,9157.0,17522.0,12858.0,17753.0,693.0,368.0,138.8,153.8,147.3,5.7,6,9.831131890343988
2019-09-01,17364,2019,9,18604.0,17855.0,16486.0,17519.0,14976.0,17648.333333333332,17668.833333333332,17209.75,9232.0,17665.0,13039.0,18005.0,718.0,353.0,138.5,153.3,147.4,5.6,7,9.762154376419485
2019-10-01,19534,2019,10,17364.0,18604.0,17855.0,16438.0,16940.0,17941.0,17643.0,17408.75,9088.0,17512.0,12825.0,17678.0,697.0,332.0,137.5,151.9,147.3,5.5,8,9.879911816007422
2019-11-01,21844,2019,11,19534.0,17364.0,18604.0,19111.0,20868.0,18500.666666666668,18159.0,17624.916666666668,9006.0,17345.0,12976.0,17928.0,694.0,359.0,137.9,151.4,148.3,5.5,9,9.991681563272044
2019-12-01,15984,2019,12,21844.0,19534.0,17364.0,16486.0,14797.0,19580.666666666668,18614.5,17706.25,9081.0,17482.0,12907.0,17793.0,749.0,371.0,137.7,152.6,148.6,5.5,10,9.679343500888335
2020-01-01,20383,2020,1,15984.0,21844.0,19534.0,17855.0,17755.0,19120.666666666668,18530.833333333332,17805.166666666668,9094.0,17393.0,12882.0,17748.0,856.0,383.0,137.8,154.2,148.9,5.2,11,9.922456499083731
2020-02-01,18625,2020,2,20383.0,15984.0,21844.0,18604.0,15168.0,19403.666666666668,18952.166666666668,18024.166666666668,9340.0,17874.0,12930.0,17819.0,827.0,406.0,138.0,155.3,149.0,5.2,12,9.83226004324776
2020-03-01,18364,2020,3,18625.0,20383.0,15984.0,17364.0,17519.0,18330.666666666668,18955.666666666668,18312.25,9335.0,17787.0,12888.0,17750.0,845.0,427.0,138.7,154.4,149.3,5.6,13,9.818147505369113
2020-04-01,22081,2020,4,18364.0,18625.0,20383.0,19534.0,16438.0,19124.0,19122.333333333332,18382.666666666668,9457.0,17873.0,13014.0,17976.0,895.0,460.0,137.9,154.5,149.3,8.5,14,10.00247278922055
2020-05-01,21855,2020,5,22081.0,18364.0,18625.0,21844.0,19111.0,19690.0,19546.833333333332,18852.916666666668,9786.0,18502.0,13035.0,17985.0,852.0,469.0,137.3,156.4,148.4,12.1,15,9.992185007297415
2020-06-01,22282,2020,6,21855.0,22081.0,18364.0,15984.0,16486.0,20766.666666666668,19548.666666666668,19081.583333333332,9281.0,17723.0,12913.0,17820.0,822.0,492.0,137.5,156.1,148.0,14.2,16,10.011534456619263
2020-07-01,21884,2020,7,22282.0,21855.0,22081.0,20383.0,17855.0,22072.666666666668,20598.333333333332,19564.583333333332,8914.0,17084.0,12914.0,17825.0,784.0,484.0,138.6,156.6,149.7,12.6,17,9.993511055183717
2020-08-01,20010,2020,8,21884.0,22282.0,21855.0,18625.0,18604.0,22007.0,20848.5,19900.333333333332,8765.0,16955.0,12925.0,17854.0,775.0,484.0,138.8,157.0,149.5,11.4,18,9.903987427577778
2020-09-01,23378,2020,9,20010.0,21884.0,22282.0,18364.0,17364.0,21392.0,21079.333333333332,20017.5,8520.0,16600.0,12822.0,17707.0,746.0,482.0,138.6,155.9,150.2,10.4,19,10.059550688167716
2020-10-01,25393,2020,10,23378.0,20010.0,21884.0,22081.0,19534.0,21757.333333333332,21915.0,20518.666666666668,8215.0,16108.0,12908.0,17861.0,744.0,498.0,138.3,154.6,150.5,9.6,20,10.142228824473392
2020-11-01,24984,2020,11,25393.0,23378.0,20010.0,21855.0,21844.0,22927.0,22467.0,21006.916666666668,8243.0,16272.0,12869.0,17834.0,819.0,518.0,138.9,155.0,152.2,9.4,21,10.125990898962915
2020-12-01,22750,2020,12,24984.0,25393.0,23378.0,22282.0,15984.0,24585.0,22988.5,21268.583333333332,8148.0,16093.0,12743.0,17619.0,808.0,497.0,139.0,155.3,152.4,9.0,22,10.032320424379096
2021-01-01,23743,2021,1,22750.0,24984.0,25393.0,21884.0,20383.0,24375.666666666668,23066.5,21832.416666666668,7990.0,15704.0,12829.0,17773.0,840.0,512.0,138.8,155.2,152.3,9.9,23,10.075043029177243
2021-02-01,25061,2021,2,23743.0,22750.0,24984.0,20010.0,18625.0,23825.666666666668,23376.333333333332,22112.416666666668,7996.0,15690.0,12703.0,17517.0,887.0,527.0,139.5,157.1,151.1,10.2,24,10.129068131883756
2021-03-01,30229,2021,3,25061.0,23743.0,22750.0,23378.0,18364.0,23851.333333333332,24218.166666666668,22648.75,7803.0,15304.0,12847.0,17748.0,832.0,528.0,140.2,157.1,151.9,9.5,25,10.316557007504228
