origin,target_month,horizon,model,actual,predicted
2022-01-01,2022-02-01,1,Holt-Winters (damped) [reference],24719,24561.947916066998
2022-01-01,2022-02-01,1,Seasonal Naive [reference],24719,25061.0
2022-01-01,2022-02-01,1,GAM,24719,7741.832290545108
2022-01-01,2022-03-01,2,Holt-Winters (damped) [reference],31052,26040.20474675925
2022-01-01,2022-03-01,2,Seasonal Naive [reference],31052,30229.0
2022-01-01,2022-03-01,2,GAM,31052,5733.405670774664
2022-01-01,2022-04-01,3,Holt-Winters (damped) [reference],27436,25140.078196148315
2022-01-01,2022-04-01,3,Seasonal Naive [reference],27436,27723.0
2022-01-01,2022-04-01,3,GAM,27436,3713.203492169891
2022-02-01,2022-03-01,1,Holt-Winters (damped) [reference],31052,26010.814601925616
2022-02-01,2022-03-01,1,Seasonal Naive [reference],31052,30229.0
2022-02-01,2022-03-01,1,GAM,31052,17589.319441777065
2022-02-01,2022-04-01,2,Holt-Winters (damped) [reference],27436,25121.39366942911
2022-02-01,2022-04-01,2,Seasonal Naive [reference],27436,27723.0
2022-02-01,2022-04-01,2,GAM,27436,15245.427196972845
2022-02-01,2022-05-01,3,Holt-Winters (damped) [reference],29218,24931.081779466567
2022-02-01,2022-05-01,3,Seasonal Naive [reference],29218,26961.0
2022-02-01,2022-05-01,3,GAM,29218,14744.995477168213
2022-03-01,2022-04-01,1,Holt-Winters (damped) [reference],27436,28916.690038906898
2022-03-01,2022-04-01,1,Seasonal Naive [reference],27436,27723.0
2022-03-01,2022-04-01,1,GAM,27436,30463.088680826397
2022-03-01,2022-05-01,2,Holt-Winters (damped) [reference],29218,29475.72280338196
2022-03-01,2022-05-01,2,Seasonal Naive [reference],29218,26961.0
2022-03-01,2022-05-01,2,GAM,29218,32660.88329720925
2022-03-01,2022-06-01,3,Holt-Winters (damped) [reference],33199,29137.10340704768
2022-03-01,2022-06-01,3,Seasonal Naive [reference],33199,28912.0
2022-03-01,2022-06-01,3,GAM,33199,34085.56141867674
2022-04-01,2022-05-01,1,Holt-Winters (damped) [reference],29218,28885.873237895063
2022-04-01,2022-05-01,1,Seasonal Naive [reference],29218,26961.0
2022-04-01,2022-05-01,1,GAM,29218,28583.13188990333
2022-04-01,2022-06-01,2,Holt-Winters (damped) [reference],33199,28590.13830238129
2022-04-01,2022-06-01,2,Seasonal Naive [reference],33199,28912.0
2022-04-01,2022-06-01,2,GAM,33199,28781.917654172677
2022-04-01,2022-07-01,3,Holt-Winters (damped) [reference],30405,28467.743027389384
2022-04-01,2022-07-01,3,Seasonal Naive [reference],30405,28025.0
2022-04-01,2022-07-01,3,GAM,30405,28984.851528277013
2022-05-01,2022-06-01,1,Holt-Winters (damped) [reference],33199,28515.698986433996
2022-05-01,2022-06-01,1,Seasonal Naive [reference],33199,28912.0
2022-05-01,2022-06-01,1,GAM,33199,29141.03547891068
2022-05-01,2022-07-01,2,Holt-Winters (damped) [reference],30405,28162.072261167305
2022-05-01,2022-07-01,2,Seasonal Naive [reference],30405,28025.0
2022-05-01,2022-07-01,2,GAM,30405,29338.06197637675
2022-05-01,2022-08-01,3,Holt-Winters (damped) [reference],33811,28067.16658259248
2022-05-01,2022-08-01,3,Seasonal Naive [reference],33811,30224.0
2022-05-01,2022-08-01,3,GAM,33811,30860.418480411183
2022-06-01,2022-07-01,1,Holt-Winters (damped) [reference],30405,30098.13765410989
2022-06-01,2022-07-01,1,Seasonal Naive [reference],30405,28025.0
2022-06-01,2022-07-01,1,GAM,30405,31360.922110913638
2022-06-01,2022-08-01,2,Holt-Winters (damped) [reference],33811,30391.351637925865
2022-06-01,2022-08-01,2,Seasonal Naive [reference],33811,30224.0
2022-06-01,2022-08-01,2,GAM,33811,33433.92501670935
2022-06-01,2022-09-01,3,Holt-Winters (damped) [reference],34266,31675.3738147639
2022-06-01,2022-09-01,3,Seasonal Naive [reference],34266,31899.0
2022-06-01,2022-09-01,3,GAM,34266,33449.26471527508
2022-07-01,2022-08-01,1,Holt-Winters (damped) [reference],33811,30493.848028173845
2022-07-01,2022-08-01,1,Seasonal Naive [reference],33811,30224.0
2022-07-01,2022-08-01,1,GAM,33811,32933.582408101895
2022-07-01,2022-09-01,2,Holt-Winters (damped) [reference],34266,31779.652507319628
2022-07-01,2022-09-01,2,Seasonal Naive [reference],34266,31899.0
2022-07-01,2022-09-01,2,GAM,34266,32948.638592168114
2022-07-01,2022-10-01,3,Holt-Winters (damped) [reference],33128,32459.86342141879
2022-07-01,2022-10-01,3,Seasonal Naive [reference],33128,29641.0
2022-07-01,2022-10-01,3,GAM,33128,35234.592833893475
2022-08-01,2022-09-01,1,Holt-Winters (damped) [reference],34266,32556.24763787063
2022-08-01,2022-09-01,1,Seasonal Naive [reference],34266,31899.0
2022-08-01,2022-09-01,1,GAM,34266,33276.749827517175
2022-08-01,2022-10-01,2,Holt-Winters (damped) [reference],33128,34476.370414233854
2022-08-01,2022-10-01,2,Seasonal Naive [reference],33128,29641.0
2022-08-01,2022-10-01,2,GAM,33128,35558.21520346569
2022-08-01,2022-11-01,3,Holt-Winters (damped) [reference],37554,35390.28299093257
2022-08-01,2022-11-01,3,Seasonal Naive [reference],37554,29315.0
2022-08-01,2022-11-01,3,GAM,37554,34650.75955783878
2022-09-01,2022-10-01,1,Holt-Winters (damped) [reference],33128,35405.87149748685
2022-09-01,2022-10-01,1,Seasonal Naive [reference],33128,29641.0
2022-09-01,2022-10-01,1,GAM,33128,36103.69689660956
2022-09-01,2022-11-01,2,Holt-Winters (damped) [reference],37554,36345.41714577722
2022-09-01,2022-11-01,2,Seasonal Naive [reference],37554,29315.0
2022-09-01,2022-11-01,2,GAM,37554,34926.10876808614
2022-09-01,2022-12-01,3,Holt-Winters (damped) [reference],33209,32315.874994594476
2022-09-01,2022-12-01,3,Seasonal Naive [reference],33209,26427.0
2022-09-01,2022-12-01,3,GAM,33209,32630.149039840442
2022-10-01,2022-11-01,1,Holt-Winters (damped) [reference],37554,34956.93064403769
2022-10-01,2022-11-01,1,Seasonal Naive [reference],37554,29315.0
2022-10-01,2022-11-01,1,GAM,37554,33667.941785103525
2022-10-01,2022-12-01,2,Holt-Winters (damped) [reference],33209,30815.295087442682
2022-10-01,2022-12-01,2,Seasonal Naive [reference],33209,26427.0
2022-10-01,2022-12-01,2,GAM,33209,31056.60847626186
2022-10-01,2023-01-01,3,Holt-Winters (damped) [reference],34802,32977.53559706591
2022-10-01,2023-01-01,3,Seasonal Naive [reference],34802,21413.0
2022-10-01,2023-01-01,3,GAM,34802,32328.338656410422
2022-11-01,2022-12-01,1,Holt-Winters (damped) [reference],33209,32268.73038277989
2022-11-01,2022-12-01,1,Seasonal Naive [reference],33209,26427.0
2022-11-01,2022-12-01,1,GAM,33209,32124.46890959109
2022-11-01,2023-01-01,2,Holt-Winters (damped) [reference],34802,32642.29852917725
2022-11-01,2023-01-01,2,Seasonal Naive [reference],34802,21413.0
