origin,target_month,horizon,model,actual,predicted
2022-01-01,2022-02-01,1,Holt-Winters (damped) [reference],24719,24561.947916066998
2022-01-01,2022-02-01,1,Seasonal Naive [reference],24719,25061.0
2022-01-01,2022-02-01,1,Naive [reference],24719,21413.0
2022-01-01,2022-02-01,1,Ridge Regression (10 Indicators),24719,25474.783711028944
2022-01-01,2022-03-01,2,Holt-Winters (damped) [reference],31052,26040.20474675925
2022-01-01,2022-03-01,2,Seasonal Naive [reference],31052,30229.0
2022-01-01,2022-03-01,2,Naive [reference],31052,21413.0
2022-01-01,2022-03-01,2,Ridge Regression (10 Indicators),31052,26341.547922518814
2022-01-01,2022-04-01,3,Holt-Winters (damped) [reference],27436,25140.078196148315
2022-01-01,2022-04-01,3,Seasonal Naive [reference],27436,27723.0
2022-01-01,2022-04-01,3,Naive [reference],27436,21413.0
2022-01-01,2022-04-01,3,Ridge Regression (10 Indicators),27436,24248.144106023647
2022-02-01,2022-03-01,1,Holt-Winters (damped) [reference],31052,26010.814601925616
2022-02-01,2022-03-01,1,Seasonal Naive [reference],31052,30229.0
2022-02-01,2022-03-01,1,Naive [reference],31052,24719.0
2022-02-01,2022-03-01,1,Ridge Regression (10 Indicators),31052,25847.232417377127
2022-02-01,2022-04-01,2,Holt-Winters (damped) [reference],27436,25121.39366942911
2022-02-01,2022-04-01,2,Seasonal Naive [reference],27436,27723.0
2022-02-01,2022-04-01,2,Naive [reference],27436,24719.0
2022-02-01,2022-04-01,2,Ridge Regression (10 Indicators),27436,23921.101463726267
2022-02-01,2022-05-01,3,Holt-Winters (damped) [reference],29218,24931.081779466567
2022-02-01,2022-05-01,3,Seasonal Naive [reference],29218,26961.0
2022-02-01,2022-05-01,3,Naive [reference],29218,24719.0
2022-02-01,2022-05-01,3,Ridge Regression (10 Indicators),29218,22544.168516623984
2022-03-01,2022-04-01,1,Holt-Winters (damped) [reference],27436,28916.690038906898
2022-03-01,2022-04-01,1,Seasonal Naive [reference],27436,27723.0
2022-03-01,2022-04-01,1,Naive [reference],27436,31052.0
2022-03-01,2022-04-01,1,Ridge Regression (10 Indicators),27436,27666.651712697178
2022-03-01,2022-05-01,2,Holt-Winters (damped) [reference],29218,29475.72280338196
2022-03-01,2022-05-01,2,Seasonal Naive [reference],29218,26961.0
2022-03-01,2022-05-01,2,Naive [reference],29218,31052.0
2022-03-01,2022-05-01,2,Ridge Regression (10 Indicators),29218,25472.979811662633
2022-03-01,2022-06-01,3,Holt-Winters (damped) [reference],33199,29137.10340704768
2022-03-01,2022-06-01,3,Seasonal Naive [reference],33199,28912.0
2022-03-01,2022-06-01,3,Naive [reference],33199,31052.0
2022-03-01,2022-06-01,3,Ridge Regression (10 Indicators),33199,24664.50704301858
2022-04-01,2022-05-01,1,Holt-Winters (damped) [reference],29218,28885.873237895063
2022-04-01,2022-05-01,1,Seasonal Naive [reference],29218,26961.0
2022-04-01,2022-05-01,1,Naive [reference],29218,27436.0
2022-04-01,2022-05-01,1,Ridge Regression (10 Indicators),29218,25415.581342657435
2022-04-01,2022-06-01,2,Holt-Winters (damped) [reference],33199,28590.13830238129
2022-04-01,2022-06-01,2,Seasonal Naive [reference],33199,28912.0
2022-04-01,2022-06-01,2,Naive [reference],33199,27436.0
2022-04-01,2022-06-01,2,Ridge Regression (10 Indicators),33199,24577.238662905293
2022-04-01,2022-07-01,3,Holt-Winters (damped) [reference],30405,28467.743027389384
2022-04-01,2022-07-01,3,Seasonal Naive [reference],30405,28025.0
2022-04-01,2022-07-01,3,Naive [reference],30405,27436.0
2022-04-01,2022-07-01,3,Ridge Regression (10 Indicators),30405,22874.412980640234
2022-05-01,2022-06-01,1,Holt-Winters (damped) [reference],33199,28515.698986433996
2022-05-01,2022-06-01,1,Seasonal Naive [reference],33199,28912.0
2022-05-01,2022-06-01,1,Naive [reference],33199,29218.0
2022-05-01,2022-06-01,1,Ridge Regression (10 Indicators),33199,26374.977551492913
2022-05-01,2022-07-01,2,Holt-Winters (damped) [reference],30405,28162.072261167305
2022-05-01,2022-07-01,2,Seasonal Naive [reference],30405,28025.0
2022-05-01,2022-07-01,2,Naive [reference],30405,29218.0
2022-05-01,2022-07-01,2,Ridge Regression (10 Indicators),30405,24756.69126315928
2022-05-01,2022-08-01,3,Holt-Winters (damped) [reference],33811,28067.16658259248
2022-05-01,2022-08-01,3,Seasonal Naive [reference],33811,30224.0
2022-05-01,2022-08-01,3,Naive [reference],33811,29218.0
2022-05-01,2022-08-01,3,Ridge Regression (10 Indicators),33811,24739.624238789052
2022-06-01,2022-07-01,1,Holt-Winters (damped) [reference],30405,30098.13765410989
2022-06-01,2022-07-01,1,Seasonal Naive [reference],30405,28025.0
2022-06-01,2022-07-01,1,Naive [reference],30405,33199.0
2022-06-01,2022-07-01,1,Ridge Regression (10 Indicators),30405,28734.77673113563
2022-06-01,2022-08-01,2,Holt-Winters (damped) [reference],33811,30391.351637925865
2022-06-01,2022-08-01,2,Seasonal Naive [reference],33811,30224.0
2022-06-01,2022-08-01,2,Naive [reference],33811,33199.0
2022-06-01,2022-08-01,2,Ridge Regression (10 Indicators),33811,28562.398503508957
2022-06-01,2022-09-01,3,Holt-Winters (damped) [reference],34266,31675.3738147639
2022-06-01,2022-09-01,3,Seasonal Naive [reference],34266,31899.0
2022-06-01,2022-09-01,3,Naive [reference],34266,33199.0
2022-06-01,2022-09-01,3,Ridge Regression (10 Indicators),34266,30488.370350914378
2022-07-01,2022-08-01,1,Holt-Winters (damped) [reference],33811,30493.848028173845
2022-07-01,2022-08-01,1,Seasonal Naive [reference],33811,30224.0
2022-07-01,2022-08-01,1,Naive [reference],33811,30405.0
2022-07-01,2022-08-01,1,Ridge Regression (10 Indicators),33811,29278.985334368645
2022-07-01,2022-09-01,2,Holt-Winters (damped) [reference],34266,31779.652507319628
2022-07-01,2022-09-01,2,Seasonal Naive [reference],34266,31899.0
2022-07-01,2022-09-01,2,Naive [reference],34266,30405.0
2022-07-01,2022-09-01,2,Ridge Regression (10 Indicators),34266,31100.35980030066
2022-07-01,2022-10-01,3,Holt-Winters (damped) [reference],33128,32459.86342141879
2022-07-01,2022-10-01,3,Seasonal Naive [reference],33128,29641.0
2022-07-01,2022-10-01,3,Naive [reference],33128,30405.0
2022-07-01,2022-10-01,3,Ridge Regression (10 Indicators),33128,29560.4836608899
2022-08-01,2022-09-01,1,Holt-Winters (damped) [reference],34266,32556.24763787063
2022-08-01,2022-09-01,1,Seasonal Naive [reference],34266,31899.0
2022-08-01,2022-09-01,1,Naive [reference],34266,33811.0
2022-08-01,2022-09-01,1,Ridge Regression (10 Indicators),34266,32821.792995517746
2022-08-01,2022-10-01,2,Holt-Winters (damped) [reference],33128,34476.370414233854
2022-08-01,2022-10-01,2,Seasonal Naive [reference],33128,29641.0
2022-08-01,2022-10-01,2,Naive [reference],33128,33811.0
