model,horizon,n_origins,MAE,RMSE,WAPE_%,WAPE_std_%,Bias,R2
Holt-Winters (damped) [reference],1,51,2880.314416137325,3482.3357005154635,6.309555184670228,4.879876711663609,-330.00841635393397,0.8674499925312787
Ridge Regression (10 Indicators),1,51,3137.071518194233,3927.816882135391,6.872001803486451,6.051169253395951,-415.57326892925323,0.8313676271742981
Naive [reference],1,51,4039.6470588235293,4979.408851440492,8.849164487542051,6.920937289461944,-769.2941176470588,0.7289845435590625
Seasonal Naive [reference],1,51,6584.294117647059,7914.995444240821,14.423413935172618,10.013851781286826,-6537.509803921569,0.3152377274438156
Holt-Winters (damped) [reference],2,51,2674.6654368898435,3305.731792081477,5.782758854816771,4.970716390197119,-403.57904707556537,0.8705436848401208
Ridge Regression (10 Indicators),2,51,3499.570260892216,4193.185842102912,7.566243850580469,6.311461014224045,-703.1268103706317,0.791706252507541
Naive [reference],2,51,4331.35294117647,5350.810011980778,9.364599111524868,7.698148418727972,-1371.6666666666667,0.6608224692953524
Seasonal Naive [reference],2,51,6579.941176470588,7914.868402161176,14.226158000027981,10.045855823622142,-6541.862745098039,0.2578778248092175
Holt-Winters (damped) [reference],3,51,2759.243293501788,3170.794463386994,5.899699734138476,4.078285872187346,-482.1643657316171,0.8774755259096934
Ridge Regression (10 Indicators),3,51,3652.7724545701417,4489.282358032936,7.810206780187958,7.330987131610179,-930.2304796050466,0.7543931314166004
Naive [reference],3,51,3991.4117647058824,5029.691488609241,8.53427132813188,6.57415925586685,-1888.4705882352941,0.691702957249559
Seasonal Naive [reference],3,51,6595.0392156862745,7917.172392102783,14.101239712732106,10.04292498534921,-6556.9607843137255,0.2361169598997933
