origin,target_month,horizon,model,actual,predicted
2022-01-01,2022-02-01,1,Holt-Winters (damped) [reference],24719,24561.947916066998
2022-01-01,2022-02-01,1,Seasonal Naive [reference],24719,25061.0
2022-01-01,2022-02-01,1,Naive [reference],24719,21413.0
2022-01-01,2022-02-01,1,SARIMAX (No Exog),24719,20940.4033310477
2022-01-01,2022-02-01,1,Auto-ETS,24719,23596.63063240337
2022-01-01,2022-03-01,2,Holt-Winters (damped) [reference],31052,26040.20474675925
2022-01-01,2022-03-01,2,Seasonal Naive [reference],31052,30229.0
2022-01-01,2022-03-01,2,Naive [reference],31052,21413.0
2022-01-01,2022-03-01,2,SARIMAX (No Exog),31052,20754.606739863142
2022-01-01,2022-03-01,2,Auto-ETS,31052,23596.63063240337
2022-01-01,2022-04-01,3,Holt-Winters (damped) [reference],27436,25140.078196148315
2022-01-01,2022-04-01,3,Seasonal Naive [reference],27436,27723.0
2022-01-01,2022-04-01,3,Naive [reference],27436,21413.0
2022-01-01,2022-04-01,3,SARIMAX (No Exog),27436,20840.030275068246
2022-01-01,2022-04-01,3,Auto-ETS,27436,23596.63063240337
2022-02-01,2022-03-01,1,Holt-Winters (damped) [reference],31052,26010.814601925616
2022-02-01,2022-03-01,1,Seasonal Naive [reference],31052,30229.0
2022-02-01,2022-03-01,1,Naive [reference],31052,24719.0
2022-02-01,2022-03-01,1,SARIMAX (No Exog),31052,24761.875496038978
2022-02-01,2022-03-01,1,Auto-ETS,31052,24389.950473945897
2022-02-01,2022-04-01,2,Holt-Winters (damped) [reference],27436,25121.39366942911
2022-02-01,2022-04-01,2,Seasonal Naive [reference],27436,27723.0
2022-02-01,2022-04-01,2,Naive [reference],27436,24719.0
2022-02-01,2022-04-01,2,SARIMAX (No Exog),27436,24546.11558606854
2022-02-01,2022-04-01,2,Auto-ETS,27436,24389.950473945897
2022-02-01,2022-05-01,3,Holt-Winters (damped) [reference],29218,24931.081779466567
2022-02-01,2022-05-01,3,Seasonal Naive [reference],29218,26961.0
2022-02-01,2022-05-01,3,Naive [reference],29218,24719.0
2022-02-01,2022-05-01,3,SARIMAX (No Exog),29218,24489.77962778527
2022-02-01,2022-05-01,3,Auto-ETS,29218,24389.950473945897
2022-03-01,2022-04-01,1,Holt-Winters (damped) [reference],27436,28916.690038906898
2022-03-01,2022-04-01,1,Seasonal Naive [reference],27436,27723.0
2022-03-01,2022-04-01,1,Naive [reference],27436,31052.0
2022-03-01,2022-04-01,1,Auto-ETS,27436,27954.229191311544
2022-03-01,2022-05-01,2,Holt-Winters (damped) [reference],29218,29475.72280338196
2022-03-01,2022-05-01,2,Seasonal Naive [reference],29218,26961.0
2022-03-01,2022-05-01,2,Naive [reference],29218,31052.0
2022-03-01,2022-05-01,2,Auto-ETS,29218,27954.229191311544
2022-03-01,2022-06-01,3,Holt-Winters (damped) [reference],33199,29137.10340704768
2022-03-01,2022-06-01,3,Seasonal Naive [reference],33199,28912.0
2022-03-01,2022-06-01,3,Naive [reference],33199,31052.0
2022-03-01,2022-06-01,3,Auto-ETS,33199,27954.229191311544
2022-04-01,2022-05-01,1,Holt-Winters (damped) [reference],29218,28885.873237895063
2022-04-01,2022-05-01,1,Seasonal Naive [reference],29218,26961.0
2022-04-01,2022-05-01,1,Naive [reference],29218,27436.0
2022-04-01,2022-05-01,1,SARIMAX (No Exog),29218,-235848.4828046552
2022-04-01,2022-05-01,1,Auto-ETS,29218,27672.239337658408
2022-04-01,2022-06-01,2,Holt-Winters (damped) [reference],33199,28590.13830238129
2022-04-01,2022-06-01,2,Seasonal Naive [reference],33199,28912.0
2022-04-01,2022-06-01,2,Naive [reference],33199,27436.0
2022-04-01,2022-06-01,2,SARIMAX (No Exog),33199,-235848.4868514042
2022-04-01,2022-06-01,2,Auto-ETS,33199,27672.239337658408
2022-04-01,2022-07-01,3,Holt-Winters (damped) [reference],30405,28467.743027389384
2022-04-01,2022-07-01,3,Seasonal Naive [reference],30405,28025.0
2022-04-01,2022-07-01,3,Naive [reference],30405,27436.0
2022-04-01,2022-07-01,3,SARIMAX (No Exog),30405,-235848.4868514041
2022-04-01,2022-07-01,3,Auto-ETS,30405,27672.239337658408
2022-05-01,2022-06-01,1,Holt-Winters (damped) [reference],33199,28515.698986433996
2022-05-01,2022-06-01,1,Seasonal Naive [reference],33199,28912.0
2022-05-01,2022-06-01,1,Naive [reference],33199,29218.0
2022-05-01,2022-06-01,1,Auto-ETS,33199,28477.204003372663
2022-05-01,2022-07-01,2,Holt-Winters (damped) [reference],30405,28162.072261167305
2022-05-01,2022-07-01,2,Seasonal Naive [reference],30405,28025.0
2022-05-01,2022-07-01,2,Naive [reference],30405,29218.0
2022-05-01,2022-07-01,2,Auto-ETS,30405,28477.204003372663
2022-05-01,2022-08-01,3,Holt-Winters (damped) [reference],33811,28067.16658259248
2022-05-01,2022-08-01,3,Seasonal Naive [reference],33811,30224.0
2022-05-01,2022-08-01,3,Naive [reference],33811,29218.0
2022-05-01,2022-08-01,3,Auto-ETS,33811,28477.204003372663
2022-06-01,2022-07-01,1,Holt-Winters (damped) [reference],30405,30098.13765410989
2022-06-01,2022-07-01,1,Seasonal Naive [reference],30405,28025.0
2022-06-01,2022-07-01,1,Naive [reference],30405,33199.0
2022-06-01,2022-07-01,1,SARIMAX (No Exog),30405,24707.4388345774
2022-06-01,2022-07-01,1,Auto-ETS,30405,31164.634676302765
2022-06-01,2022-08-01,2,Holt-Winters (damped) [reference],33811,30391.351637925865
2022-06-01,2022-08-01,2,Seasonal Naive [reference],33811,30224.0
2022-06-01,2022-08-01,2,Naive [reference],33811,33199.0
2022-06-01,2022-08-01,2,SARIMAX (No Exog),33811,24707.438834577402
2022-06-01,2022-08-01,2,Auto-ETS,33811,31164.634676302765
2022-06-01,2022-09-01,3,Holt-Winters (damped) [reference],34266,31675.3738147639
2022-06-01,2022-09-01,3,Seasonal Naive [reference],34266,31899.0
2022-06-01,2022-09-01,3,Naive [reference],34266,33199.0
2022-06-01,2022-09-01,3,SARIMAX (No Exog),34266,24707.438834577406
2022-06-01,2022-09-01,3,Auto-ETS,34266,31164.634676302765
2022-07-01,2022-08-01,1,Holt-Winters (damped) [reference],33811,30493.848028173845
2022-07-01,2022-08-01,1,Seasonal Naive [reference],33811,30224.0
2022-07-01,2022-08-01,1,Naive [reference],33811,30405.0
2022-07-01,2022-08-01,1,SARIMAX (No Exog),33811,-41345.874465178335
2022-07-01,2022-08-01,1,Auto-ETS,33811,30710.191346670974
2022-07-01,2022-09-01,2,Holt-Winters (damped) [reference],34266,31779.652507319628
2022-07-01,2022-09-01,2,Seasonal Naive [reference],34266,31899.0
2022-07-01,2022-09-01,2,Naive [reference],34266,30405.0
2022-07-01,2022-09-01,2,SARIMAX (No Exog),34266,-41345.87446517834
2022-07-01,2022-09-01,2,Auto-ETS,34266,30710.191346670974
