model,horizon,n_origins,MAE,RMSE,WAPE_%,Bias,R2
Holt-Winters (damped) [reference],1,51,2880.314416137325,3482.3357005154635,6.309555184670228,-330.00841635393397,0.8674499925312787
Auto-ETS,1,51,3460.6469773856657,4295.903669910366,7.580819286999688,-1285.5001020977375,0.798280652470185
Seasonal Naive [reference],1,51,6584.294117647059,7914.995444240821,14.423413935172618,-6537.509803921569,0.3152377274438156
SARIMAX (No Exog),1,45,10752.379135404488,41259.59099343627,22.717861800471766,-8542.143607714932,-20.642898256893144
Holt-Winters (damped) [reference],2,51,2674.6654368898435,3305.731792081477,5.782758854816771,-403.57904707556537,0.8705436848401208
Auto-ETS,2,51,3801.416081074743,4541.286375630912,8.218849430843115,-1887.8726511173452,0.7556874418119364
Seasonal Naive [reference],2,51,6579.941176470588,7914.868402161176,14.226158000027981,-6541.862745098039,0.2578778248092175
SARIMAX (No Exog),2,45,10757.314366902625,41850.345191548244,22.544270663550947,-8719.221703976296,-22.483561140832816
Holt-Winters (damped) [reference],3,51,2759.243293501788,3170.794463386994,5.899699734138476,-482.1643657316171,0.8774755259096934
Auto-ETS,3,51,3875.594179148682,4634.391772394834,8.286634963361301,-2404.6765726859726,0.7382587611511575
Seasonal Naive [reference],3,51,6595.0392156862745,7917.172392102783,14.101239712732106,-6556.9607843137255,0.2361169598997933
SARIMAX (No Exog),3,45,10550.75590595322,41395.703115685064,21.906806000484238,-8936.174257976643,-21.897568315104838
