model,horizon,n_origins,MAE,RMSE,WAPE_%,Bias,R2
Holt-Winters (damped),1,51,2880.314416137325,3482.3357005154635,6.309555184670228,-330.00841635393397,0.8674499925312787
SARIMAX,1,39,3170.6903414654953,3849.9249342460243,6.43554424623019,-612.9760149320545,0.7499619041258687
Ridge (All Socioeconomic Indicators),1,51,3485.728164608207,4291.4642827669895,7.635761599544126,-1701.5194951849326,0.7986973506257197
Linear Trend + Exog,1,51,3552.991924219317,4282.598106900135,7.7831081533845365,-2265.6173044466163,0.799528274939443
Naive,1,51,4039.6470588235293,4979.408851440492,8.849164487542051,-769.2941176470588,0.7289845435590625
Seasonal Naive,1,51,6584.294117647059,7914.995444240821,14.423413935172618,-6537.509803921569,0.3152377274438156
Holt-Winters (damped),2,51,2674.6654368898435,3305.731792081477,5.782758854816771,-403.57904707556537,0.8705436848401208
SARIMAX,2,39,3621.4410919171655,4301.345075203056,7.274367136981059,-997.7673103690453,0.6544361721922036
Linear Trend + Exog,2,51,3810.064104291028,4555.0651770579425,8.237546884416517,-2612.121283604085,0.7542026461504577
Ridge (All Socioeconomic Indicators),2,51,3947.0032563438044,4640.579776839118,8.533616098600222,-2114.135990448914,0.7448870538281216
Naive,2,51,4331.35294117647,5350.810011980778,9.364599111524868,-1371.6666666666667,0.6608224692953524
Seasonal Naive,2,51,6579.941176470588,7914.868402161176,14.226158000027981,-6541.862745098039,0.2578778248092175
Holt-Winters (damped),3,51,2759.243293501788,3170.794463386994,5.899699734138476,-482.1643657316171,0.8774755259096934
SARIMAX,3,39,3268.3755479029564,4271.164812798939,6.528943149434384,-989.505716680561,0.6752023373722337
Naive,3,51,3991.4117647058824,5029.691488609241,8.53427132813188,-1888.4705882352941,0.691702957249559
Linear Trend + Exog,3,51,4059.930657844841,4871.0946342484785,8.680775587682819,-2860.7712164165605,0.7108389462580986
Ridge (All Socioeconomic Indicators),3,51,4154.780529460383,4872.2843902981795,8.883579654896154,-2382.5681684326596,0.7106976748793427
Seasonal Naive,3,51,6595.0392156862745,7917.172392102783,14.101239712732106,-6556.9607843137255,0.2361169598997933
