origin,target_month,horizon,model,actual,predicted
2022-01-01,2022-02-01,1,Holt-Winters (damped),24719,24561.947916066998
2022-01-01,2022-02-01,1,Linear Trend + Exog,24719,27662.472690601924
2022-01-01,2022-02-01,1,Ridge (All Socioeconomic Indicators),24719,23967.9401889551
2022-01-01,2022-02-01,1,Seasonal Naive,24719,25061.0
2022-01-01,2022-02-01,1,Naive,24719,21413.0
2022-01-01,2022-02-01,1,SARIMAX,24719,22834.906348154323
2022-01-01,2022-03-01,2,Holt-Winters (damped),31052,26040.20474675925
2022-01-01,2022-03-01,2,Linear Trend + Exog,31052,28668.061279750626
2022-01-01,2022-03-01,2,Ridge (All Socioeconomic Indicators),31052,24275.920472717335
2022-01-01,2022-03-01,2,Seasonal Naive,31052,30229.0
2022-01-01,2022-03-01,2,Naive,31052,21413.0
2022-01-01,2022-03-01,2,SARIMAX,31052,24111.683154427283
2022-01-01,2022-04-01,3,Holt-Winters (damped),27436,25140.078196148315
2022-01-01,2022-04-01,3,Linear Trend + Exog,27436,28989.117083471643
2022-01-01,2022-04-01,3,Ridge (All Socioeconomic Indicators),27436,23526.54063636288
2022-01-01,2022-04-01,3,Seasonal Naive,27436,27723.0
2022-01-01,2022-04-01,3,Naive,27436,21413.0
2022-01-01,2022-04-01,3,SARIMAX,27436,22221.53709559848
2022-02-01,2022-03-01,1,Holt-Winters (damped),31052,26010.814601925616
2022-02-01,2022-03-01,1,Linear Trend + Exog,31052,27953.986443807553
2022-02-01,2022-03-01,1,Ridge (All Socioeconomic Indicators),31052,24270.059820336675
2022-02-01,2022-03-01,1,Seasonal Naive,31052,30229.0
2022-02-01,2022-03-01,1,Naive,31052,24719.0
2022-02-01,2022-03-01,1,SARIMAX,31052,26178.26929551886
2022-02-01,2022-04-01,2,Holt-Winters (damped),27436,25121.39366942911
2022-02-01,2022-04-01,2,Linear Trend + Exog,27436,28195.95466126421
2022-02-01,2022-04-01,2,Ridge (All Socioeconomic Indicators),27436,23342.52093766031
2022-02-01,2022-04-01,2,Seasonal Naive,27436,27723.0
2022-02-01,2022-04-01,2,Naive,27436,24719.0
2022-02-01,2022-04-01,2,SARIMAX,27436,23845.55016232683
2022-02-01,2022-05-01,3,Holt-Winters (damped),29218,24931.081779466567
2022-02-01,2022-05-01,3,Linear Trend + Exog,29218,28026.245004371456
2022-02-01,2022-05-01,3,Ridge (All Socioeconomic Indicators),29218,23221.197066618894
2022-02-01,2022-05-01,3,Seasonal Naive,29218,26961.0
2022-02-01,2022-05-01,3,Naive,29218,24719.0
2022-02-01,2022-05-01,3,SARIMAX,29218,24153.048621604215
2022-03-01,2022-04-01,1,Holt-Winters (damped),27436,28916.690038906898
2022-03-01,2022-04-01,1,Linear Trend + Exog,27436,29082.92831482179
2022-03-01,2022-04-01,1,Ridge (All Socioeconomic Indicators),27436,26889.899516101905
2022-03-01,2022-04-01,1,Seasonal Naive,27436,27723.0
2022-03-01,2022-04-01,1,Naive,27436,31052.0
2022-03-01,2022-05-01,2,Holt-Winters (damped),29218,29475.72280338196
2022-03-01,2022-05-01,2,Linear Trend + Exog,29218,28993.5170438934
2022-03-01,2022-05-01,2,Ridge (All Socioeconomic Indicators),29218,26428.347332628673
2022-03-01,2022-05-01,2,Seasonal Naive,29218,26961.0
2022-03-01,2022-05-01,2,Naive,29218,31052.0
2022-03-01,2022-06-01,3,Holt-Winters (damped),33199,29137.10340704768
2022-03-01,2022-06-01,3,Linear Trend + Exog,33199,29685.439083710116
2022-03-01,2022-06-01,3,Ridge (All Socioeconomic Indicators),33199,26504.26825827016
2022-03-01,2022-06-01,3,Seasonal Naive,33199,28912.0
2022-03-01,2022-06-01,3,Naive,33199,31052.0
2022-04-01,2022-05-01,1,Holt-Winters (damped),29218,28885.873237895063
2022-04-01,2022-05-01,1,Linear Trend + Exog,29218,28482.432789544655
2022-04-01,2022-05-01,1,Ridge (All Socioeconomic Indicators),29218,27595.595866463373
2022-04-01,2022-05-01,1,Seasonal Naive,29218,26961.0
2022-04-01,2022-05-01,1,Naive,29218,27436.0
2022-04-01,2022-06-01,2,Holt-Winters (damped),33199,28590.13830238129
2022-04-01,2022-06-01,2,Linear Trend + Exog,33199,29162.00622544269
2022-04-01,2022-06-01,2,Ridge (All Socioeconomic Indicators),33199,27653.17853023854
2022-04-01,2022-06-01,2,Seasonal Naive,33199,28912.0
2022-04-01,2022-06-01,2,Naive,33199,27436.0
2022-04-01,2022-07-01,3,Holt-Winters (damped),30405,28467.743027389384
2022-04-01,2022-07-01,3,Linear Trend + Exog,30405,28088.546761130063
2022-04-01,2022-07-01,3,Ridge (All Socioeconomic Indicators),30405,27420.618605780564
2022-04-01,2022-07-01,3,Seasonal Naive,30405,28025.0
2022-04-01,2022-07-01,3,Naive,30405,27436.0
2022-05-01,2022-06-01,1,Holt-Winters (damped),33199,28515.698986433996
2022-05-01,2022-06-01,1,Linear Trend + Exog,33199,29385.399769617732
2022-05-01,2022-06-01,1,Ridge (All Socioeconomic Indicators),33199,28002.669314115956
2022-05-01,2022-06-01,1,Seasonal Naive,33199,28912.0
2022-05-01,2022-06-01,1,Naive,33199,29218.0
2022-05-01,2022-07-01,2,Holt-Winters (damped),30405,28162.072261167305
2022-05-01,2022-07-01,2,Linear Trend + Exog,30405,28357.588704316346
2022-05-01,2022-07-01,2,Ridge (All Socioeconomic Indicators),30405,27813.646710825164
2022-05-01,2022-07-01,2,Seasonal Naive,30405,28025.0
2022-05-01,2022-07-01,2,Naive,30405,29218.0
2022-05-01,2022-08-01,3,Holt-Winters (damped),33811,28067.16658259248
2022-05-01,2022-08-01,3,Linear Trend + Exog,33811,28287.125432119803
2022-05-01,2022-08-01,3,Ridge (All Socioeconomic Indicators),33811,26242.4986015973
2022-05-01,2022-08-01,3,Seasonal Naive,33811,30224.0
2022-05-01,2022-08-01,3,Naive,33811,29218.0
2022-06-01,2022-07-01,1,Holt-Winters (damped),30405,30098.13765410989
2022-06-01,2022-07-01,1,Linear Trend + Exog,30405,29544.553008327304
2022-06-01,2022-07-01,1,Ridge (All Socioeconomic Indicators),30405,29827.328929901738
2022-06-01,2022-07-01,1,Seasonal Naive,30405,28025.0
2022-06-01,2022-07-01,1,Naive,30405,33199.0
2022-06-01,2022-08-01,2,Holt-Winters (damped),33811,30391.351637925865
2022-06-01,2022-08-01,2,Linear Trend + Exog,33811,29476.59604819228
2022-06-01,2022-08-01,2,Ridge (All Socioeconomic Indicators),33811,28706.141112549805
2022-06-01,2022-08-01,2,Seasonal Naive,33811,30224.0
2022-06-01,2022-08-01,2,Naive,33811,33199.0
2022-06-01,2022-09-01,3,Holt-Winters (damped),34266,31675.3738147639
2022-06-01,2022-09-01,3,Linear Trend + Exog,34266,28257.992415272696
2022-06-01,2022-09-01,3,Ridge (All Socioeconomic Indicators),34266,28887.59558156012
2022-06-01,2022-09-01,3,Seasonal Naive,34266,31899.0
2022-06-01,2022-09-01,3,Naive,34266,33199.0
2022-07-01,2022-08-01,1,Holt-Winters (damped),33811,30493.848028173845
2022-07-01,2022-08-01,1,Linear Trend + Exog,33811,29755.545920816083
2022-07-01,2022-08-01,1,Ridge (All Socioeconomic Indicators),33811,28432.25727068016
2022-07-01,2022-08-01,1,Seasonal Naive,33811,30224.0
2022-07-01,2022-08-01,1,Naive,33811,30405.0
2022-07-01,2022-09-01,2,Holt-Winters (damped),34266,31779.652507319628
2022-07-01,2022-09-01,2,Linear Trend + Exog,34266,28579.251011185574
2022-07-01,2022-09-01,2,Ridge (All Socioeconomic Indicators),34266,28534.109208301
2022-07-01,2022-09-01,2,Seasonal Naive,34266,31899.0
2022-07-01,2022-09-01,2,Naive,34266,30405.0
2022-07-01,2022-10-01,3,Holt-Winters (damped),33128,32459.86342141879
2022-07-01,2022-10-01,3,Linear Trend + Exog,33128,28994.02059397199
2022-07-01,2022-10-01,3,Ridge (All Socioeconomic Indicators),33128,28087.05017090433
2022-07-01,2022-10-01,3,Seasonal Naive,33128,29641.0
2022-07-01,2022-10-01,3,Naive,33128,30405.0
2022-08-01,2022-09-01,1,Holt-Winters (damped),34266,32556.24763787063
2022-08-01,2022-09-01,1,Linear Trend + Exog,34266,29869.94617868985
2022-08-01,2022-09-01,1,Ridge (All Socioeconomic Indicators),34266,30576.958447437108
2022-08-01,2022-09-01,1,Seasonal Naive,34266,31899.0
2022-08-01,2022-09-01,1,Naive,34266,33811.0
2022-08-01,2022-10-01,2,Holt-Winters (damped),33128,34476.370414233854
2022-08-01,2022-10-01,2,Linear Trend + Exog,33128,30125.872607358877
2022-08-01,2022-10-01,2,Ridge (All Socioeconomic Indicators),33128,30238.32526039646
2022-08-01,2022-10-01,2,Seasonal Naive,33128,29641.0
2022-08-01,2022-10-01,2,Naive,33128,33811.0
2022-08-01,2022-11-01,3,Holt-Winters (damped),37554,35390.28299093257
2022-08-01,2022-11-01,3,Linear Trend + Exog,37554,30422.07417062339
2022-08-01,2022-11-01,3,Ridge (All Socioeconomic Indicators),37554,29971.704400850584
2022-08-01,2022-11-01,3,Seasonal Naive,37554,29315.0
2022-08-01,2022-11-01,3,Naive,37554,33811.0
2022-09-01,2022-10-01,1,Holt-Winters (damped),33128,35405.87149748685
