experiment,model,order,seasonal_order,trend,AIC,MAE,RMSE,WAPE_%,Bias,R2,Train_RMSE,Overfit_Gap_%,is_best_in_experiment,ridge_alpha
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,SARIMAX,"(2, 1, 2)","(0, 0, 1, 12)",None,1168.572272270891,1922.47666141997,2735.0499350787168,3.4395660662694256,790.7688338705981,0.17113708735870525,3155.6258340203776,-13.327812645196675,True,
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Holt-Winters (damped),,,,,2984.675044855221,3287.188300769276,5.339980041964506,1473.5259840271265,-0.19729550786931305,2532.669514797519,29.791442648295117,False,
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Linear Trend + Exog,,,,,2522.706867962685,3002.705122029074,4.513457620744432,-16.753853546471266,0.0009722368961110339,3321.8871809927614,-9.60845572330058,False,
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Ridge (All Socioeconomic Indicators),,,,,2718.58519402667,3057.007763251536,4.863909960150054,1142.3192020489253,-0.03548847877830186,3083.802156089902,-0.8688752222788497,False,0.16102620275609392
Range 1: Train 2019-02–2025-06 / Test 2025-07 onward,Seasonal Naive,,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-4068.5833333333335,-2.5048182389405738,,,False,
Range 2: Train 2022–2025-06 / Test 2025-07 onward,SARIMAX,"(2, 1, 0)","(1, 0, 0, 12)",t,523.3868341777155,3536.550795541978,4828.451998469715,6.327359053087108,-2923.18666316133,-1.5832594360978658,5992.547497017757,-19.425720015191605,False,
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Holt-Winters (damped),,,,,3126.957332990965,3533.912017482873,5.594541951569901,1243.6884419141443,-0.38376918007702154,2311.7162160790326,52.86962962421234,True,
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Linear Trend + Exog,,,,,5038.791340584631,5996.478084105444,9.015066896721649,4216.605455446551,-2.9842326437948876,3152.220267623443,90.23030039161496,False,
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Ridge (All Socioeconomic Indicators),,,,,5336.292683389168,6230.777515612716,9.547336309357465,4823.768681563545,-3.301665892325909,2983.569689596747,108.83633244225828,False,0.07278953843983153
Range 2: Train 2022–2025-06 / Test 2025-07 onward,Seasonal Naive,,,,,4151.583333333333,5624.146905679711,7.4277339440239984,-4068.5833333333335,-2.5048182389405738,,,False,
