model,horizon,n_origins,MAE,RMSE,WAPE_%,WAPE_std_%,Bias,R2
Holt-Winters (damped) [reference],1,51,2880.314416137325,3482.3357005154635,6.309555184670228,4.879876711663609,-330.00841635393397,0.8674499925312787
Auto-ETS,1,51,3460.6469773856657,4295.903669910366,7.580819286999688,6.150781739089323,-1285.5001020977375,0.798280652470185
Naive [reference],1,51,4039.6470588235293,4979.408851440492,8.849164487542051,6.920937289461944,-769.2941176470588,0.7289845435590625
Seasonal Naive [reference],1,51,6584.294117647059,7914.995444240821,14.423413935172618,10.013851781286826,-6537.509803921569,0.3152377274438156
SARIMAX (No Exog),1,45,10752.379135404488,41259.59099343627,22.717861800471766,137.29774410364547,-8542.143607714932,-20.642898256893144
Holt-Winters (damped) [reference],2,51,2674.6654368898435,3305.731792081477,5.782758854816771,4.970716390197119,-403.57904707556537,0.8705436848401208
Auto-ETS,2,51,3801.416081074743,4541.286375630912,8.218849430843115,5.972243067648796,-1887.8726511173452,0.7556874418119364
Naive [reference],2,51,4331.35294117647,5350.810011980778,9.364599111524868,7.698148418727972,-1371.6666666666667,0.6608224692953524
Seasonal Naive [reference],2,51,6579.941176470588,7914.868402161176,14.226158000027981,10.045855823622142,-6541.862745098039,0.2578778248092175
SARIMAX (No Exog),2,45,10757.314366902625,41850.345191548244,22.544270663550947,123.36879588567695,-8719.221703976296,-22.483561140832816
Holt-Winters (damped) [reference],3,51,2759.243293501788,3170.794463386994,5.899699734138476,4.078285872187346,-482.1643657316171,0.8774755259096934
Auto-ETS,3,51,3875.594179148682,4634.391772394834,8.286634963361301,5.717069275309168,-2404.6765726859726,0.7382587611511575
Naive [reference],3,51,3991.4117647058824,5029.691488609241,8.53427132813188,6.57415925586685,-1888.4705882352941,0.691702957249559
Seasonal Naive [reference],3,51,6595.0392156862745,7917.172392102783,14.101239712732106,10.04292498534921,-6556.9607843137255,0.2361169598997933
SARIMAX (No Exog),3,45,10550.75590595322,41395.703115685064,21.906806000484238,132.944498415168,-8936.174257976643,-21.897568315104838
