feature,std_coefficient,abs_std_coefficient
trend,8010.844325278799,8010.844325278799
cpi_shelter_lag1,7301.316287058781,7301.316287058781
cpi_all_items_lag1,-6991.007623339016,6991.007623339016
cpi_food_lag1,3060.6733927782043,3060.6733927782043
month_cos,-1045.308365425815,1045.308365425815
total_homeless_lag1,1007.2387688483013,1007.2387688483013
ow_beneficiaries_lag1,672.1449295429775,672.1449295429775
month_sin,-601.3728131350788,601.3728131350788
odsp_beneficiaries_lag1,-384.48326080740895,384.48326080740895
unemployment_rate_lag1,-46.638906967220514,46.638906967220514
